LogSxy,Sii,Sij,Sjj,LogBVTV,Logmxy,LogCV,Scan,IF
5.336019089506919,1.0,0.0,0.0,-1.5361874506945077,-0.8361890490166121,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
4.543239131933331,0.0,1.0,0.0,-1.5361874506945077,-0.3401432330911258,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
4.571742086322945,0.0,1.0,0.0,-1.5361874506945077,-0.1864908610763967,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
4.543239131933331,0.0,1.0,0.0,-1.5361874506945077,-0.3401432330911258,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
6.382747038708077,1.0,0.0,0.0,-1.5361874506945077,0.1559025828343604,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
5.255228088626461,0.0,1.0,0.0,-1.5361874506945077,0.30955495484908946,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
4.571742086322945,0.0,1.0,0.0,-1.5361874506945077,-0.1864908610763967,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
5.255228088626461,0.0,1.0,0.0,-1.5361874506945077,0.30955495484908946,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
6.876471262336399,1.0,0.0,0.0,-1.5361874506945077,0.4632073268638186,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
6.347765942996787,0.0,0.0,1.0,-1.5361874506945077,0.30955495484908946,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
5.543144130189196,0.0,0.0,1.0,-1.5361874506945077,-0.1864908610763967,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
5.458675424430743,0.0,0.0,1.0,-1.5361874506945077,-0.3401432330911258,-1.5564534914054058,C0001406_SEG_UNCOMP,1.0
4.852594195277817,1.0,0.0,0.0,-1.9928969402796501,-0.6096564625735029,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
3.7466402517415944,0.0,1.0,0.0,-1.9928969402796501,-0.27932619027440814,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
3.6568853731976443,0.0,1.0,0.0,-1.9928969402796501,-0.09220381256275095,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
3.7466402517415944,0.0,1.0,0.0,-1.9928969402796501,-0.27932619027440814,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
5.526561076158429,1.0,0.0,0.0,-1.9928969402796501,0.051004082024686724,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
4.367444449271341,0.0,1.0,0.0,-1.9928969402796501,0.23812645973634383,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
3.6568853731976443,0.0,1.0,0.0,-1.9928969402796501,-0.09220381256275095,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
4.367444449271341,0.0,1.0,0.0,-1.9928969402796501,0.23812645973634383,-1.685287924921867,C0001406_SEG_UNCOMP,1.0
