DOFs,Data type,Lambda0,Lambda0p,Mu0,NSamples,k,l
5.0,Complete,6830,4315,5531,429,2.157,0.915
3.0,Complete,2524,1595,2044,429,1.55,0.84
5.0,Windowed,6830,4315,5531,429,2.157,0.915
3.0,Windowed,2524,1595,2044,429,1.55,0.84
5.0,Filtered,5279,3375,4277,407,1.994,0.898
3.0,Filtered,2618,1673,2121,407,1.55,0.82
