BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2276,2.117,322.7021525580622,602.0200886867898,1368.4438151143574,152.90067449955419,362.29959365599984,198.06041089632183,0.22745556193435756,0.06393769497271008,0.13325489284371378,6,C0001803_SEG_UNCOMP,0.66495,0.92716,1.40789
0.2706,2.017,581.8436329913276,874.8428729135935,1854.559250185713,210.26635249186612,456.35066337468675,312.7181690921545,0.2078160319323542,0.09518575607644979,0.12164806954458827,4,C0001803_SEG_UNCOMP,0.71875,0.83128,1.44997
0.1779,1.871,235.55766258280033,307.5629164682388,935.3431365389168,112.33615905268829,213.05622065992407,140.16081446539067,0.29193782484788766,0.06488658061134628,0.10582453390631413,2,C0001803_SEG_UNCOMP,0.73217,0.89785,1.36997
0.2639,2.149,431.0274137444077,774.1625213219893,1641.0735608426319,210.953097350698,462.27264824432956,245.6939053181245,0.23821599534438628,0.07087242835375053,0.13911959709303098,1,C0001803_SEG_UNCOMP,0.65849,0.92635,1.41516
0.2425,2.277,358.47844711800764,665.2310922971811,1551.7126214366815,191.61989886402316,414.4023751994591,234.67960324463644,0.25697209379196756,0.07379600577158238,0.11525012639580332,3,C0001803_SEG_UNCOMP,0.64154,0.89736,1.4611
0.2265,2.136,383.1670353746309,579.6800609851362,1444.024055212651,139.82396910741096,321.20774841514867,211.69621683244225,0.23852312686922345,0.07860028760403265,0.10344916434565456,5,C0001803_SEG_UNCOMP,0.68797,0.84242,1.46961
