BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.1618,1.858,136.61516897926512,176.11857728249336,655.264886606456,68.79377268587959,116.12896026013378,96.14324765345519,0.26405679000682386,0.061099691396517414,0.07715143150688919,1,350203_C0000099_SEG_UNCOMP,0.73509,0.89938,1.36553
0.1655,1.768,138.6581297163239,287.16179144792017,681.9772844372848,75.74111300617072,147.3359358126094,96.55856590407016,0.1546922915762707,0.07779025109808568,0.11317674102690575,2,350203_C0000099_SEG_UNCOMP,0.73258,0.97248,1.29493
0.1775,1.807,119.37540982550202,237.01515398085357,632.7120318720986,60.296608503218515,127.84780911122351,76.05683952516534,0.14006669950070633,0.059232773306429974,0.09777130540660683,3,350203_C0000099_SEG_UNCOMP,0.72304,0.97038,1.30658
0.242,1.963,265.00860627670266,475.76962201284243,1239.2741693843857,124.78793876099517,288.19739815070966,166.18706705681922,0.1855633417938381,0.05776600201209718,0.1040354958113735,4,350203_C0000099_SEG_UNCOMP,0.69898,0.92924,1.37179
0.1791,1.733,157.22248526857393,225.00700366533388,659.7189421970726,66.46780765088573,114.63966885147755,88.27620547566372,0.20273866363544213,0.05536046896666779,0.07837835827651515,5,350203_C0000099_SEG_UNCOMP,0.77382,0.88538,1.3408
0.0978,1.808,60.657732194077695,74.65673202983871,364.10554699749326,20.377450186330012,53.3285333148487,40.237388791025495,0.1404562099080656,0.0444935251501403,0.0681612242029824,6,350203_C0000099_SEG_UNCOMP,0.75665,0.875,1.36834
