BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.0815,1.861,58.542645681120284,105.42028328468577,318.4152117062748,26.164660891060123,52.789899236717744,31.600433569766004,0.15192631577039276,0.05170523162281856,0.10139918435947703,1,350108_C0000130_SEG_UNCOMP,0.737,0.89149,1.37151
0.1871,2.113,169.3308262743999,612.3481311186054,1033.3250597041201,93.30425377504618,286.6581107026095,109.19506349418293,0.09235497018039426,0.06002158677231704,0.16886384918999653,2,350108_C0000130_SEG_UNCOMP,0.64204,1.00122,1.35674
0.072,1.848,35.571437339349536,85.4546868232906,254.11624277521858,24.592565778713055,49.10789279264741,25.44458168183552,0.2291264930461613,0.04337567079517038,0.09514534037124181,3,350108_C0000130_SEG_UNCOMP,0.72096,0.94667,1.33238
0.2166,2.096,247.16581469402095,497.0377923813425,1463.4566523187086,132.4411739862513,251.67497815843694,159.62741608159484,0.21214178177684612,0.05510059025112827,0.09050130355406642,4,350108_C0000130_SEG_UNCOMP,0.69263,0.85595,1.45142
0.1395,2.173,122.62742668498078,370.7448205730946,688.6685308481628,84.21368996740385,201.94938406853174,77.89055875600984,0.1755485946532584,0.056083022190523475,0.16486096164193184,5,350108_C0000130_SEG_UNCOMP,0.62163,1.02783,1.35054
0.1124,2.065,86.50874090920905,219.32391166971652,552.8478675765898,70.8391373644622,132.51421648776366,66.12664767817847,0.2348211929992576,0.053138303220719836,0.11652802742164954,6,350108_C0000130_SEG_UNCOMP,0.65214,1.00113,1.34673
