BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.1385,1.864,173.70578392417525,170.3827511382591,621.5687618057975,61.4709226543037,100.53028610743827,89.17993582567335,0.2525241140009312,0.07675511761787336,0.08497455551957597,1,350107_C0000104_SEG_UNCOMP,0.76134,0.81974,1.41892
0.1593,1.813,181.14057241759886,235.81459303972284,752.4525135741097,79.66804803210633,120.78144503589232,99.95270162521891,0.2667989745613251,0.0730912301516265,0.07765275519748223,2,350107_C0000104_SEG_UNCOMP,0.75671,0.87175,1.37155
0.1668,2.188,184.47808706786736,514.5903624829491,993.0560146782283,104.38117574499078,282.67577955956097,115.68397270405899,0.13593381037330007,0.05519156985555693,0.15123238494875124,3,350107_C0000104_SEG_UNCOMP,0.63833,0.96532,1.39635
0.1128,1.85,104.47588185047623,120.9643395257815,495.7544917279335,48.7383710042481,64.47215827829746,56.590155192361976,0.293185633483595,0.0629264909818646,0.06375565252565321,4,350107_C0000104_SEG_UNCOMP,0.75823,0.83925,1.40252
0.083,1.883,59.099607435782985,87.62697002297153,286.7254141685756,32.058472652038944,51.543148720232665,34.79846912929836,0.24896948095957439,0.054641719271603384,0.09515442847974824,5,350107_C0000104_SEG_UNCOMP,0.71513,0.93823,1.34665
0.1098,2.042,98.26815236916698,254.16466097555823,527.7133188691869,53.4881232399034,144.66803299279297,62.59140317407629,0.14420501951689382,0.060786565476703414,0.15336821327175337,6,350107_C0000104_SEG_UNCOMP,0.65512,1.00707,1.33782
