BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2403,2.585,211.76407990738343,647.222963588329,1692.7259522166255,140.64460801150315,369.49913035486225,172.02100022760226,0.154827732768991,0.04699409934346282,0.10292432411456434,1,350608_C0000085_SEG_UNCOMP,0.58205,0.91327,1.50468
0.2852,2.08,421.8431647294805,556.8005859066785,2048.6533134442,222.57487974198054,347.5780357087629,297.0898888173091,0.2751518045112499,0.0670457827226553,0.08250152324824582,2,350608_C0000085_SEG_UNCOMP,0.71553,0.79651,1.48796
0.144,2.016,133.81202358626123,194.34614013208983,856.746363278044,82.26442880867653,121.78541567736276,107.9348408152507,0.2778704294501771,0.05667655989040756,0.05057810602509071,3,350608_C0000085_SEG_UNCOMP,0.72458,0.81499,1.46043
0.0944,1.924,91.038511904291,158.6764729058273,407.353886691161,44.37405987744655,82.11901384573042,55.27084962817221,0.18976004774340943,0.061033719598337845,0.09607901042854688,4,350608_C0000085_SEG_UNCOMP,0.72266,0.88701,1.39033
0.2205,2.665,145.6136157584654,624.0274627613969,1546.2742662798762,123.28034862831863,359.1100175533578,139.13304109380294,0.138022581455699,0.03770108887188006,0.10301060642403466,5,350608_C0000085_SEG_UNCOMP,0.5555,0.96432,1.48018
0.1668,2.421,117.82618303162764,305.54601234376247,1048.0210790496776,84.12189755240101,165.6814537675472,95.09518389581582,0.20469893929862557,0.03858330952369214,0.07069084657664208,6,350608_C0000085_SEG_UNCOMP,0.6274,0.85396,1.51864
