BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2757,1.829,514.5975604360483,745.1580292115508,1732.1786187303796,218.09019846292685,373.67470658662774,291.9240490977497,0.23709440117459854,0.08942219591675946,0.10972121879640478,1,C0001927_SEG_UNCOMP,0.75882,0.85311,1.38807
0.3223,2.098,546.1442298317601,1188.0380464854006,2141.197005609958,273.2190581223238,619.5631574862955,352.03134843731226,0.15843776472138138,0.08599109194114979,0.15136319111446103,2,C0001927_SEG_UNCOMP,0.65725,0.96357,1.37918
0.2794,1.837,466.3048294013293,863.8665446455152,1560.8371622382026,229.8889321537015,449.7597274385275,247.66852524314993,0.20191378423983194,0.08313453046763104,0.1455553827074186,3,C0001927_SEG_UNCOMP,0.71186,0.98054,1.30759
0.2761,1.691,552.663792034042,733.3276276459952,1655.0056353221896,229.11777792270206,375.9585052695285,287.12414842674576,0.26663288813951824,0.08686007294139243,0.11812623522124488,4,C0001927_SEG_UNCOMP,0.78276,0.89355,1.32369
0.3315,2.063,530.9646988667947,1368.8353316857203,2008.5329110106952,319.95596482367614,689.2023888126118,345.7254691145195,0.16478036058759893,0.09526268642184696,0.18109069766028071,5,C0001927_SEG_UNCOMP,0.63825,1.04523,1.31652
0.3122,1.992,472.08867485857985,1094.3341250856497,1901.5847377333073,292.22201254137497,600.2736115465036,298.9840085898353,0.20452764734919845,0.07609921224738525,0.15150943534082623,6,C0001927_SEG_UNCOMP,0.65208,1.0493,1.29862
