BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2242,1.917,282.74339753203486,660.5623720602819,1246.8288384926602,146.32369754461487,313.46720109382557,158.68349501263185,0.14351549843408026,0.06227390730152091,0.1322979263111871,1,C0001785_SEG_UNCOMP,0.68499,1.00163,1.31338
0.2177,1.798,352.41838076562095,379.4692650317965,1217.9221434559468,121.0769728022743,199.61829164497314,151.5276524417747,0.22172762805658372,0.06135327740786044,0.08653144724484346,2,C0001785_SEG_UNCOMP,0.77034,0.84454,1.38512
0.1465,2.093,98.4025799736407,238.15688103291816,678.7669329792348,46.41523527487481,126.08075420092514,62.00526564085257,0.12734424615367168,0.047604942409347976,0.0873451499298105,3,C0001785_SEG_UNCOMP,0.67564,0.91017,1.4142
0.2822,2.112,431.7650803733381,908.2321391467391,1841.4461096995608,212.49631643728563,457.7239849771916,265.37054732016054,0.13331804473469702,0.07003520226622073,0.12816502664872362,4,C0001785_SEG_UNCOMP,0.65688,0.95565,1.38747
0.0739,1.779,31.460434089529397,68.46718635743254,161.10723647326665,14.988607347428088,37.68664818403127,21.044289830313478,0.11522987181317616,0.05584165410793073,0.12334550776757461,5,C0001785_SEG_UNCOMP,0.74299,0.93556,1.32145
0.1972,1.931,231.3940633784794,314.3205346742152,1087.791388270613,83.44236698334569,175.7687203485964,129.25411647407387,0.17483044965903508,0.054821583888359046,0.09076645358044706,6,C0001785_SEG_UNCOMP,0.743,0.82261,1.43439
