index,BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient,Group
246,0.2915,2.489,1,351302_C0000051_SEG_UNCOMP,0.21953288624952627,1
251,0.222,1.995,6,351302_C0000051_SEG_UNCOMP,0.13083788314893166,1
259,0.1982,2.07,2,351304_C0000089_SEG_UNCOMP,0.11257574608478246,1
260,0.1779,2.055,3,351304_C0000089_SEG_UNCOMP,0.15389853649014745,1
261,0.16699999999999998,2.298,4,351304_C0000089_SEG_UNCOMP,0.21162755477203407,1
271,0.1567,2.004,2,351306_C0000147_SEG_UNCOMP,0.25332934800958257,1
272,0.20199999999999999,1.995,3,351306_C0000147_SEG_UNCOMP,0.2262883937512147,1
279,0.1982,2.245,4,351308_C0000194_SEG_UNCOMP,0.17271899949214398,1
280,0.2084,2.125,5,351308_C0000194_SEG_UNCOMP,0.224389929175618,1
282,0.2252,1.869,1,351310_C0000159_SEG_UNCOMP,0.21055773435500755,1
284,0.2232,1.784,3,351310_C0000159_SEG_UNCOMP,0.1415583821129736,1
287,0.2774,1.841,6,351310_C0000159_SEG_UNCOMP,0.1968712094115092,1
