BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.2346,1.929,4,350303_C0000153_SEG_UNCOMP,0.25838775561759275
0.127,2.388,5,350303_C0000153_SEG_UNCOMP,0.40841555438721405
0.3164,1.879,6,350303_C0000153_SEG_UNCOMP,0.17496381596790844
0.1573,2.356,1,350304_C0000179_SEG_UNCOMP,0.6077858853210006
0.0174,2.338,2,350304_C0000179_SEG_UNCOMP,0.7215412463732247
0.1422,2.245,3,350304_C0000179_SEG_UNCOMP,0.5422775109270398
0.09,1.952,4,350304_C0000179_SEG_UNCOMP,0.47316629989459363
0.0739,2.038,5,350304_C0000179_SEG_UNCOMP,0.36747930049193184
0.1592,2.227,6,350304_C0000179_SEG_UNCOMP,0.7026429336404408
0.0353,1.582,1,350402_C0000050_SEG_UNCOMP,0.1947724822523043
0.0449,1.99,2,350402_C0000050_SEG_UNCOMP,0.5794517379035795
0.0937,2.151,3,350402_C0000050_SEG_UNCOMP,0.33842243151016504
0.0297,1.821,4,350402_C0000050_SEG_UNCOMP,0.7065517557534616
0.0891,2.047,5,350402_C0000050_SEG_UNCOMP,0.33833383231242764
0.0987,2.033,6,350402_C0000050_SEG_UNCOMP,0.37014471018337214
0.3755,1.57,1,350404_C0000120_SEG_UNCOMP,0.26455228104633777
0.2458,1.952,2,350404_C0000120_SEG_UNCOMP,0.22527117835817403
0.3265,1.49,3,350404_C0000120_SEG_UNCOMP,0.36409818237636793
0.1916,1.664,4,350404_C0000120_SEG_UNCOMP,0.28964379461367246
0.2555,2.015,5,350404_C0000120_SEG_UNCOMP,0.15648593301664296
0.1509,1.668,6,350404_C0000120_SEG_UNCOMP,0.18035293993348436
0.0356,1.782,1,350405_C0000145_SEG_UNCOMP,0.6293328863565455
0.296,2.009,2,350405_C0000145_SEG_UNCOMP,0.12833347310736515
0.1935,1.856,3,350405_C0000145_SEG_UNCOMP,0.23144873353337006
0.1495,1.849,4,350405_C0000145_SEG_UNCOMP,0.36361865087127226
0.0577,1.891,5,350405_C0000145_SEG_UNCOMP,0.33609133956880094
0.2574,1.861,6,350405_C0000145_SEG_UNCOMP,0.21037864931566846
0.1558,2.099,1,350407_C0000158_SEG_UNCOMP,0.20931939214714299
0.1612,1.671,2,350407_C0000158_SEG_UNCOMP,0.3160605431200077
0.1666,1.714,3,350407_C0000158_SEG_UNCOMP,0.22826029075790433
0.1781,2.035,4,350407_C0000158_SEG_UNCOMP,0.23277558270810084
0.1164,1.701,5,350407_C0000158_SEG_UNCOMP,0.22777355561961832
0.1604,1.834,6,350407_C0000158_SEG_UNCOMP,0.25823093509516193
0.2608,2.015,1,350605_C0000091_SEG_UNCOMP,0.3150730835750542
0.3106,2.241,2,350605_C0000091_SEG_UNCOMP,0.1449031949280603
0.1683,1.707,3,350605_C0000091_SEG_UNCOMP,0.19135296729752335
0.3038,1.979,4,350605_C0000091_SEG_UNCOMP,0.2672972728185851
0.2549,2.333,5,350605_C0000091_SEG_UNCOMP,0.1770831669727322
0.1444,1.575,6,350605_C0000091_SEG_UNCOMP,0.2595111479471076
0.1973,2.192,1,350606_C0000070_SEG_UNCOMP,0.17514917771665062
0.2362,2.563,2,350606_C0000070_SEG_UNCOMP,0.2553717076388169
0.043,2.515,3,350606_C0000070_SEG_UNCOMP,1.3092203637297803
0.2312,1.916,4,350606_C0000070_SEG_UNCOMP,0.2341651672257002
0.1954,1.997,5,350606_C0000070_SEG_UNCOMP,0.6218803387067251
0.122,2.198,6,350606_C0000070_SEG_UNCOMP,0.5455708846606281
0.2403,2.585,1,350608_C0000085_SEG_UNCOMP,0.15777911205867112
0.2852,2.08,2,350608_C0000085_SEG_UNCOMP,0.09362807298351601
0.144,2.016,3,350608_C0000085_SEG_UNCOMP,0.3149835480566929
0.0944,1.924,4,350608_C0000085_SEG_UNCOMP,0.4709784650983967
0.2205,2.665,5,350608_C0000085_SEG_UNCOMP,0.12978253747712615
0.1668,2.421,6,350608_C0000085_SEG_UNCOMP,0.1834500014261601
0.1782,2.205,1,350701_C0000082_SEG_UNCOMP,0.2640889596362295
0.1973,2.446,2,350701_C0000082_SEG_UNCOMP,0.07152553812283513
0.1303,1.789,3,350701_C0000082_SEG_UNCOMP,0.2565933493263334
0.058,1.798,4,350701_C0000082_SEG_UNCOMP,0.6038584041352747
0.1008,2.323,5,350701_C0000082_SEG_UNCOMP,0.16607685160069308
0.1481,2.166,6,350701_C0000082_SEG_UNCOMP,0.1910132721698428
0.0352,1.817,1,350702_C0000096_SEG_UNCOMP,0.9061441208178355
0.0305,1.845,2,350702_C0000096_SEG_UNCOMP,1.3599793424697253
0.0329,2.262,3,350702_C0000096_SEG_UNCOMP,1.0869096607232638
0.0552,2.016,4,350702_C0000096_SEG_UNCOMP,0.3354227804222256
0.064,1.957,5,350702_C0000096_SEG_UNCOMP,0.5083593021261764
0.09,1.537,6,350702_C0000096_SEG_UNCOMP,0.7311119956723576
0.1579,2.174,1,350703_C0000117_SEG_UNCOMP,0.13768683525869765
0.1093,2.043,2,350703_C0000117_SEG_UNCOMP,0.32588315626638653
0.1024,2.008,3,350703_C0000117_SEG_UNCOMP,0.524853144574406
0.1728,2.209,4,350703_C0000117_SEG_UNCOMP,0.20883572578069579
0.1605,2.187,5,350703_C0000117_SEG_UNCOMP,0.12813420689410362
0.1764,1.915,6,350703_C0000117_SEG_UNCOMP,0.3902828937754519
0.1012,1.792,1,350704_C0000129_SEG_UNCOMP,0.534355701362449
0.1613,1.895,2,350704_C0000129_SEG_UNCOMP,0.22827029292058937
0.2162,2.001,3,350704_C0000129_SEG_UNCOMP,0.22203280099248765
0.1138,2.004,4,350704_C0000129_SEG_UNCOMP,0.43759484245808994
0.2067,2.194,5,350704_C0000129_SEG_UNCOMP,0.23061832429914458
0.0608,1.858,6,350704_C0000129_SEG_UNCOMP,0.4789708451769394
0.1984,2.165,1,350705_C0000245_SEG_UNCOMP,0.2208440110558199
0.0949,1.904,2,350705_C0000245_SEG_UNCOMP,0.5139365900227171
0.1815,2.113,3,350705_C0000245_SEG_UNCOMP,0.15836755125199908
0.0354,2.11,4,350705_C0000245_SEG_UNCOMP,0.7514794600889433
0.1535,2.081,5,350705_C0000245_SEG_UNCOMP,0.2163569169318832
0.16,2.222,6,350705_C0000245_SEG_UNCOMP,0.20953296135550287
0.1438,1.853,1,350901_C0000049_SEG_UNCOMP,0.4399365821323927
0.08,1.495,2,350901_C0000049_SEG_UNCOMP,0.3603120698231426
0.1467,1.822,3,350901_C0000049_SEG_UNCOMP,0.19973228973648366
0.0948,2.024,4,350901_C0000049_SEG_UNCOMP,0.558070180067403
0.1922,1.85,5,350901_C0000049_SEG_UNCOMP,0.3677643501834394
0.1461,1.843,6,350901_C0000049_SEG_UNCOMP,0.4045941747111981
0.1906,2.479,1,350902_C0000057_SEG_UNCOMP,0.2489242601421816
0.2407,2.146,2,350902_C0000057_SEG_UNCOMP,0.15384164781026127
