index,BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient,Group
705,0.3703,1.969,4,C0002221_SEG_UNCOMP,0.10188807153057527,0
555,0.4018,2.241,4,C0002077_SEG_UNCOMP,0.06388285096625976,0
227,0.3526,2.09,6,C0001753_SEG_UNCOMP,0.17149134320170314,0
284,0.4116,2.142,3,C0001808_SEG_UNCOMP,0.1678031003486068,0
653,0.2988,2.4459999999999997,6,C0002173_SEG_UNCOMP,0.1446857574319832,0
688,0.2207,2.005,5,C0002202_SEG_UNCOMP,0.14855899130925082,0
76,0.2036,2.068,5,C0001566_SEG_UNCOMP,0.1308513236303952,0
115,0.1771,2.081,2,C0001624_SEG_UNCOMP,0.16025208575534605,0
683,0.175,2.3,6,C0002198_SEG_UNCOMP,0.21331601412416026,0
73,0.1549,1.9780000000000002,2,C0001566_SEG_UNCOMP,0.20532669193989914,0
373,0.2025,1.999,2,C0001896_SEG_UNCOMP,0.23326442825526075,0
701,0.2054,2.258,6,C0002215_SEG_UNCOMP,0.1102078693085109,0
233,0.2011,2.138,6,C0001758_SEG_UNCOMP,0.2553745259258337,0
45,0.2269,1.857,4,C0001523_SEG_UNCOMP,0.14100649746266736,0
509,0.22,1.771,6,C0002033_SEG_UNCOMP,0.2597814182403794,0
398,0.2794,1.837,3,C0001927_SEG_UNCOMP,0.1270386764384708,0
