ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation
1,310101_C0000118_SEG_UNCOMP,0.07230338209214282,1.5624772405720926,0.0209410866527,43.0458212204,29.066656523000002,2.0,86.5794448853,4.7071925838099995,1.16948832113,2.0,8.24621105194,0.5443958783192407
2,310101_C0000118_SEG_UNCOMP,0.03979681034374332,1.4297658916137226,0.012988442819700002,72.3006072579,31.514312974299997,2.0,107.49884033200001,4.69091619712,1.15771587099,2.0,8.24621105194,0.9352888551680374
3,310101_C0000118_SEG_UNCOMP,0.17106355415246458,0.9394030320905118,0.044465407973,17.1780144435,6.170632257209999,2.0,37.4165725708,5.31137777363,1.4052784484399998,2.0,8.94427204132,0.22005148034569966
4,310101_C0000118_SEG_UNCOMP,0.0794505515237652,1.6664318993694218,0.0291063562759,29.249963041599997,11.026450414500001,2.0,56.4623756409,5.10679362421,1.23774701388,2.0,8.4852809906,0.2674421420847708
5,310101_C0000118_SEG_UNCOMP,0.0705236645829927,1.6144891731571147,0.025733971924400002,33.7504313046,11.384190885799999,2.0,59.363288879399995,5.10870800498,1.25669413412,2.0,9.38083171844,0.4046453816375042
6,310101_C0000118_SEG_UNCOMP,0.07362716490371916,1.5155721924557828,0.0276679727507,31.2875040241,11.7377211514,2.0,56.9209976196,4.85536806167,1.11913366033,2.0,8.4852809906,0.3983833935540597
1,310201_C0000160_SEG_UNCOMP,0.07314921956557284,1.3874800943275214,0.0190362317712,46.9855313204,23.6699272701,2.0,85.5102310181,5.5458736349399995,2.10442840509,2.0,10.770329475399999,0.4957050190193321
2,310201_C0000160_SEG_UNCOMP,0.10690410907215717,1.5103063906950145,0.021661259221,40.3630167874,33.4569973096,2.0,101.84301757799999,5.8023510610699995,2.27405327997,2.0,14.966629982,0.5661146603764029
3,310201_C0000160_SEG_UNCOMP,0.13063629617517955,1.3273825244572892,0.0339814317057,23.9646740024,12.937845666500001,2.0,55.063598632799994,5.463162018769999,2.24626173568,2.0,15.6204996109,0.4527752297311391
4,310201_C0000160_SEG_UNCOMP,0.09232992063591887,1.3844076491477193,0.028409703223599998,29.964101492399998,11.9577464835,2.0,55.3534088135,5.23513984177,2.0189448327400004,2.0,14.0,0.25660187019649044
5,310201_C0000160_SEG_UNCOMP,0.07358628799979876,1.8299447242673472,0.0272259384385,32.2540833827,22.4284961544,2.0,83.4026412964,4.4755963768900004,1.17665922951,2.0,8.4852809906,0.5350536633526363
6,310201_C0000160_SEG_UNCOMP,0.12400637679701157,1.3812865667779617,0.031313566203099996,26.1640274513,14.2707055428,2.0,57.8273277283,5.77101289235,2.30338133937,2.0,13.5646600723,0.3895253680227587
1,350104_C0000094_SEG_UNCOMP,0.20616266492258545,0.48590498874257604,0.050313788223800004,14.728538945499999,4.39352231178,2.0,27.276363372800002,5.14672855678,1.33530360831,2.0,10.1980390549,0.1807440238221159
