ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation,Degree of Anisotropy
1,310101_C0000118_SEG_UNCOMP,0.07230338209214282,0.09484236850238928,0.344993198357,2.61288128531,1.76434598462,0.121399998665,5.25537204742,0.285726585114,0.070987941576,0.121399998665,0.500545024872,0.5443958783192407,1.771
2,310101_C0000118_SEG_UNCOMP,0.039796810343743334,0.08678678962104197,0.213977645132,4.38864677867,1.9129187395299998,0.121399998665,6.52517938614,0.284738608779,0.070273354672,0.121399998665,0.500545024872,0.9352888551680374,1.728
3,310101_C0000118_SEG_UNCOMP,0.1710635541524646,0.057021764047546115,0.732543797398,1.04270546466,0.374557372922,0.121399998665,2.27118587494,0.322400626674,0.08530040382689999,0.121399998665,0.542917311192,0.22005148034569966,1.769
4,310101_C0000118_SEG_UNCOMP,0.0794505515237652,0.1011524162912775,0.47951164188900003,1.77547273403,0.66930553476,0.121399998665,3.4272661209099997,0.309982367871,0.0751312445461,0.121399998665,0.515056550503,0.2674421420847708,1.883
5,310101_C0000118_SEG_UNCOMP,0.07052366458299272,0.09799949281057413,0.423953413296,2.04865116175,0.691020382649,0.121399998665,3.6033515930199997,0.310098570266,0.07628133372889999,0.121399998665,0.569416463375,0.4046453816375042,2.147
6,310101_C0000118_SEG_UNCOMP,0.07362716490371922,0.09199523208199624,0.455815042677,1.8991514724400003,0.7124796794320001,0.121399998665,3.45510458946,0.294720836217,0.0679314133224,0.121399998665,0.515056550503,0.3983833935540597,2.318
1,310201_C0000160_SEG_UNCOMP,0.07314921956557288,0.08422004172564622,0.313611728366,2.8520217319200003,1.43676459574,0.121399998665,5.1904711723300005,0.336634525322,0.127738803946,0.121399998665,0.6537590026860001,0.4957050190193321,2.098
2,310201_C0000160_SEG_UNCOMP,0.10690410907215717,0.09167559791393537,0.356857655014,2.45003506682,2.03083967305,0.121399998665,6.18187093735,0.352202704882,0.138035034851,0.121399998665,0.908474445343,0.5661146603764029,1.611
3,310201_C0000160_SEG_UNCOMP,0.13063629617517955,0.0805721192335999,0.559825900451,1.45465569229,0.7853272164730001,0.121399998665,3.34236049652,0.331613930455,0.136348089289,0.121399998665,0.948164343834,0.4527752297311391,1.964
4,310201_C0000160_SEG_UNCOMP,0.09232992063591887,0.08403354430254208,0.46803465265,1.818820951,0.7258352179180001,0.121399998665,3.3599519729600003,0.317772983524,0.122549950881,0.121399998665,0.849799990654,0.25660187019649044,1.955
5,310201_C0000160_SEG_UNCOMP,0.07358628799979876,0.1110776447619193,0.448532766977,1.9578228241799998,1.36140966789,0.121399998665,5.062540054319999,0.27166869489100004,0.07142321500939999,0.121399998665,0.515056550503,0.5350536633526363,2.068
6,310201_C0000160_SEG_UNCOMP,0.12400637679701165,0.08384409460223828,0.515874244548,1.58815644361,0.8662318102869999,0.121399998665,3.51011872292,0.350300477948,0.13981524737,0.121399998665,0.823374867439,0.3895253680227587,1.631
1,350104_C0000094_SEG_UNCOMP,0.20616266492258545,0.029494432816559817,0.8288927301700001,0.8940223066069999,0.266686800613,0.121399998665,1.6556752920200002,0.312406418851,0.0810529294998,0.121399998665,0.619020938873,0.1807440238221159,2.038
2,350104_C0000094_SEG_UNCOMP,0.2720468009106117,-0.01603203067096423,0.9045519697579999,0.7880895813400001,0.319182137821,0.121399998665,1.9347975254099998,0.317430094071,0.07638005382600001,0.121399998665,0.594736099243,0.1696248988316364,2.498
