BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.3281,2.322,387.37054366038876,1133.285380541959,2508.7036017313258,245.75207601852844,607.9797917780106,296.74549411998953,0.14494845554676544,0.054384446294663734,0.1236981721294998,1,350608_C0000085_SEG_UNCOMP,0.62004,0.9404,1.43956
0.385,1.927,765.0201458447378,980.1379062337,2974.177510481155,386.4497799227632,579.5678559719265,504.2520306050055,0.25574379145161363,0.07999995383147931,0.09868330952713192,2,350608_C0000085_SEG_UNCOMP,0.74526,0.81881,1.43593
0.2118,1.862,248.77417737212062,368.2856037015413,1373.250440759606,154.367054775257,225.1147277650925,199.55967436583424,0.26586476841655665,0.06013688190170158,0.06697219286341467,3,350608_C0000085_SEG_UNCOMP,0.75346,0.84352,1.40302
0.1489,1.764,180.94924183178824,324.0347185057945,752.7966414348191,91.305465947972,164.55690017422475,108.52811532222447,0.1865045715039199,0.06683741382943381,0.11320984225033107,4,350608_C0000085_SEG_UNCOMP,0.76307,0.89061,1.34632
0.3067,2.388,288.95521024277815,1116.405373390893,2328.825802291733,228.34915603621155,586.0605321402529,254.24610149274844,0.13502283643761212,0.045631370227294264,0.12424064277529197,5,350608_C0000085_SEG_UNCOMP,0.59292,0.99101,1.41607
0.2462,2.222,232.67512827895067,571.4598654841507,1690.7449205582438,155.6022660321838,302.3106056726752,182.48723855710628,0.19558889596585852,0.04653961046520857,0.08493527419795469,6,350608_C0000085_SEG_UNCOMP,0.65753,0.8814,1.46107
