BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2939,2.244,325.0567303588102,813.3711136287407,2169.124704903156,208.93299279688875,449.95866718837425,268.1581660802832,0.185963589703286,0.05781149184819669,0.09743714692057945,1,350201_C0000066_SEG_UNCOMP,0.65375,0.8792,1.46705
0.3524,2.155,558.3587507005917,1134.9234624519052,2514.913367700505,300.2606152124611,564.107663525543,359.12944460846853,0.1857390314357578,0.07230130877542296,0.11606650620005125,2,350201_C0000066_SEG_UNCOMP,0.6627,0.90916,1.42814
0.1066,1.741,98.01394518741267,85.87620170150113,501.85566037380573,34.05144284178743,66.31651030461741,68.59347456028978,0.22486473635208115,0.07077354927995595,0.08576277401124435,3,350201_C0000066_SEG_UNCOMP,0.79396,0.824,1.38204
0.2345,1.985,230.20563872002325,885.8504287913223,1231.4933612427164,167.0405707484132,424.19855128726783,151.06070678435708,0.1440753257799148,0.06287971977527311,0.17494547561955764,4,350201_C0000066_SEG_UNCOMP,0.62208,1.14337,1.23455
0.1853,2.038,165.33954297309765,290.2944774445778,1188.2880782330944,95.29968384602317,181.16838153723455,129.01769328987623,0.22817317999401712,0.047122666931480636,0.06979615168571221,5,350201_C0000066_SEG_UNCOMP,0.69836,0.87856,1.42309
0.3372,2.364,361.96910671905806,1287.3959706299713,2462.327550382688,229.2775356463038,632.6591656248548,278.32962757971364,0.11686287269665867,0.05559940909401302,0.14154729225566748,6,350201_C0000066_SEG_UNCOMP,0.60951,0.94976,1.44072
