$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
2;C0001982_SEG_UNCOMP;321;87;288;87;362;87;
3;C0001982_SEG_UNCOMP;274;87;365;87;346;87;
4;C0001982_SEG_UNCOMP;450;87;199;87;408;87;
5;C0001982_SEG_UNCOMP;409;87;219;87;383;87;
6;C0001982_SEG_UNCOMP;477;87;197;87;388;87;
1;C0001986_SEG_UNCOMP;635;87;274;87;362;87;
2;C0001986_SEG_UNCOMP;335;87;144;87;355;87;
3;C0001986_SEG_UNCOMP;512;87;185;87;352;87;
4;C0001986_SEG_UNCOMP;598;87;292;87;405;87;
5;C0001986_SEG_UNCOMP;564;87;276;87;377;87;
6;C0001986_SEG_UNCOMP;365;87;188;87;378;87;
1;C0001993_SEG_UNCOMP;270;87;330;87;372;87;
2;C0001993_SEG_UNCOMP;461;87;367;87;357;87;
3;C0001993_SEG_UNCOMP;529;87;342;87;354;87;
4;C0001993_SEG_UNCOMP;499;87;358;87;387;87;
5;C0001993_SEG_UNCOMP;497;87;328;87;390;87;
6;C0001993_SEG_UNCOMP;510;87;299;87;377;87;
1;C0002000_SEG_UNCOMP;267;87;225;87;366;87;
2;C0002000_SEG_UNCOMP;263;87;165;87;360;87;
3;C0002000_SEG_UNCOMP;437;87;109;87;365;87;
4;C0002000_SEG_UNCOMP;492;87;171;87;406;87;
5;C0002000_SEG_UNCOMP;435;87;343;87;383;87;
6;C0002000_SEG_UNCOMP;301;87;313;87;398;87;
1;C0002003_SEG_UNCOMP;295;87;350;87;371;87;
2;C0002003_SEG_UNCOMP;405;87;175;87;350;87;
3;C0002003_SEG_UNCOMP;359;87;386;87;345;87;
4;C0002003_SEG_UNCOMP;437;87;228;87;378;87;
5;C0002003_SEG_UNCOMP;420;87;244;87;383;87;
6;C0002003_SEG_UNCOMP;408;87;202;87;396;87;
1;C0002008_SEG_UNCOMP;446;87;224;87;342;87;
2;C0002008_SEG_UNCOMP;164;87;253;87;341;87;
3;C0002008_SEG_UNCOMP;339;87;149;87;374;87;
4;C0002008_SEG_UNCOMP;420;87;187;87;396;87;
5;C0002008_SEG_UNCOMP;403;87;287;87;400;87;
6;C0002008_SEG_UNCOMP;256;87;208;87;401;87;
1;C0002013_SEG_UNCOMP;478;87;187;87;342;87;
2;C0002013_SEG_UNCOMP;267;87;381;87;345;87;
3;C0002013_SEG_UNCOMP;383;87;117;87;349;87;
4;C0002013_SEG_UNCOMP;319;87;233;87;396;87;
5;C0002013_SEG_UNCOMP;218;87;268;87;376;87;
6;C0002013_SEG_UNCOMP;362;87;404;87;401;87;
1;C0002019_SEG_UNCOMP;344;87;377;87;373;87;
2;C0002019_SEG_UNCOMP;576;87;284;87;354;87;
3;C0002019_SEG_UNCOMP;512;87;302;87;351;87;
4;C0002019_SEG_UNCOMP;481;87;489;87;407;87;
5;C0002019_SEG_UNCOMP;620;87;440;87;395;87;
6;C0002019_SEG_UNCOMP;377;87;460;87;385;87;
1;C0002023_SEG_UNCOMP;478;87;251;87;343;87;
2;C0002023_SEG_UNCOMP;289;87;340;87;344;87;
3;C0002023_SEG_UNCOMP;400;87;189;87;349;87;
4;C0002023_SEG_UNCOMP;201;87;186;87;403;87;
5;C0002023_SEG_UNCOMP;449;87;288;87;392;87;
6;C0002023_SEG_UNCOMP;269;87;293;87;376;87;
1;C0002028_SEG_UNCOMP;475;87;331;87;341;87;
2;C0002028_SEG_UNCOMP;317;87;324;87;348;87;
3;C0002028_SEG_UNCOMP;375;87;374;87;346;87;
4;C0002028_SEG_UNCOMP;390;87;360;87;398;87;
5;C0002028_SEG_UNCOMP;319;87;112;87;380;87;
6;C0002028_SEG_UNCOMP;249;87;354;87;388;87;
1;C0002033_SEG_UNCOMP;538;87;210;87;350;87;
2;C0002033_SEG_UNCOMP;299;87;223;87;348;87;
3;C0002033_SEG_UNCOMP;330;87;283;87;370;87;
4;C0002033_SEG_UNCOMP;634;87;391;87;401;87;
5;C0002033_SEG_UNCOMP;520;87;226;87;382;87;
6;C0002033_SEG_UNCOMP;580;87;182;87;393;87;
1;C0002040_SEG_UNCOMP;201;87;301;87;350;87;
2;C0002040_SEG_UNCOMP;406;87;370;87;375;87;
3;C0002040_SEG_UNCOMP;494;87;256;87;350;87;
4;C0002040_SEG_UNCOMP;449;87;223;87;392;87;
5;C0002040_SEG_UNCOMP;338;87;417;87;384;87;
6;C0002040_SEG_UNCOMP;397;87;220;87;391;87;
1;C0002046_SEG_UNCOMP;237;87;191;87;368;87;
2;C0002046_SEG_UNCOMP;207;87;256;87;357;87;
3;C0002046_SEG_UNCOMP;374;87;227;87;357;87;
4;C0002046_SEG_UNCOMP;420;87;332;87;405;87;
5;C0002046_SEG_UNCOMP;441;87;283;87;396;87;
6;C0002046_SEG_UNCOMP;371;87;205;87;400;87;
1;C0002050_SEG_UNCOMP;312;87;151;87;369;87;
2;C0002050_SEG_UNCOMP;343;87;252;87;348;87;
3;C0002050_SEG_UNCOMP;433;87;323;87;341;87;
4;C0002050_SEG_UNCOMP;337;87;237;87;396;87;
5;C0002050_SEG_UNCOMP;446;87;284;87;408;87;
6;C0002050_SEG_UNCOMP;367;87;304;87;403;87;
1;C0002055_SEG_UNCOMP;394;87;285;87;359;87;
2;C0002055_SEG_UNCOMP;301;87;158;87;363;87;
3;C0002055_SEG_UNCOMP;431;87;150;87;342;87;
4;C0002055_SEG_UNCOMP;339;87;118;87;381;87;
5;C0002055_SEG_UNCOMP;290;87;191;87;379;87;
6;C0002055_SEG_UNCOMP;461;87;292;87;384;87;
1;C0002058_SEG_UNCOMP;271;87;107;87;343;87;
2;C0002058_SEG_UNCOMP;366;87;140;87;365;87;
3;C0002058_SEG_UNCOMP;248;87;145;87;353;87;
4;C0002058_SEG_UNCOMP;351;87;259;87;407;87;
5;C0002058_SEG_UNCOMP;391;87;280;87;377;87;
6;C0002058_SEG_UNCOMP;295;87;147;87;409;87;
1;C0002062_SEG_UNCOMP;377;87;139;87;360;87;
2;C0002062_SEG_UNCOMP;380;87;421;87;370;87;
3;C0002062_SEG_UNCOMP;327;87;165;87;368;87;
4;C0002062_SEG_UNCOMP;262;87;376;87;410;87;
5;C0002062_SEG_UNCOMP;566;87;342;87;377;87;
6;C0002062_SEG_UNCOMP;315;87;304;87;382;87;
1;C0002073_SEG_UNCOMP;281;87;389;87;361;87;
2;C0002073_SEG_UNCOMP;429;87;256;87;371;87;
3;C0002073_SEG_UNCOMP;254;87;243;87;359;87;
4;C0002073_SEG_UNCOMP;343;87;304;87;388;87;
5;C0002073_SEG_UNCOMP;303;87;314;87;385;87;
6;C0002073_SEG_UNCOMP;410;87;306;87;380;87;
1;C0002077_SEG_UNCOMP;453;87;263;87;366;87;
2;C0002077_SEG_UNCOMP;385;87;245;87;363;87;
3;C0002077_SEG_UNCOMP;386;87;366;87;354;87;
4;C0002077_SEG_UNCOMP;195;87;236;87;385;87;
5;C0002077_SEG_UNCOMP;322;87;309;87;405;87;
6;C0002077_SEG_UNCOMP;309;87;150;87;394;87;
1;C0002087_SEG_UNCOMP;503;87;281;87;373;87;
2;C0002087_SEG_UNCOMP;183;87;365;87;370;87;
3;C0002087_SEG_UNCOMP;505;87;350;87;350;87;
4;C0002087_SEG_UNCOMP;511;87;298;87;399;87;
5;C0002087_SEG_UNCOMP;546;87;445;87;377;87;
6;C0002087_SEG_UNCOMP;234;87;307;87;399;87;
1;C0002094_SEG_UNCOMP;214;87;316;87;373;87;
2;C0002094_SEG_UNCOMP;459;87;143;87;369;87;
3;C0002094_SEG_UNCOMP;401;87;180;87;348;87;
4;C0002094_SEG_UNCOMP;366;87;169;87;388;87;
5;C0002094_SEG_UNCOMP;329;87;413;87;377;87;
6;C0002094_SEG_UNCOMP;432;87;238;87;394;87;
1;C0002099_SEG_UNCOMP;402;87;339;87;361;87;
2;C0002099_SEG_UNCOMP;342;87;118;87;359;87;
3;C0002099_SEG_UNCOMP;311;87;367;87;354;87;
4;C0002099_SEG_UNCOMP;383;87;318;87;381;87;
5;C0002099_SEG_UNCOMP;240;87;336;87;397;87;
6;C0002099_SEG_UNCOMP;305;87;121;87;385;87;
1;C0002104_SEG_UNCOMP;345;87;286;87;372;87;
2;C0002104_SEG_UNCOMP;492;87;332;87;347;87;
3;C0002104_SEG_UNCOMP;333;87;374;87;349;87;
4;C0002104_SEG_UNCOMP;411;87;272;87;406;87;
5;C0002104_SEG_UNCOMP;531;87;269;87;407;87;
6;C0002104_SEG_UNCOMP;361;87;277;87;388;87;
1;C0002110_SEG_UNCOMP;230;87;321;87;366;87;
2;C0002110_SEG_UNCOMP;364;87;270;87;362;87;
3;C0002110_SEG_UNCOMP;348;87;337;87;354;87;
4;C0002110_SEG_UNCOMP;213;87;285;87;409;87;
5;C0002110_SEG_UNCOMP;443;87;297;87;410;87;
6;C0002110_SEG_UNCOMP;262;87;317;87;394;87;
1;C0002122_SEG_UNCOMP;428;87;465;87;356;87;
2;C0002122_SEG_UNCOMP;415;87;357;87;371;87;
3;C0002122_SEG_UNCOMP;417;87;447;87;369;87;
4;C0002122_SEG_UNCOMP;469;87;338;87;396;87;
5;C0002122_SEG_UNCOMP;316;87;421;87;380;87;
6;C0002122_SEG_UNCOMP;279;87;424;87;405;87;
1;C0002129_SEG_UNCOMP;471;87;308;87;343;87;
2;C0002129_SEG_UNCOMP;403;87;301;87;358;87;
3;C0002129_SEG_UNCOMP;354;87;111;87;358;87;
4;C0002129_SEG_UNCOMP;395;87;404;87;376;87;
5;C0002129_SEG_UNCOMP;416;87;256;87;406;87;
6;C0002129_SEG_UNCOMP;421;87;246;87;408;87;
1;C0002132_SEG_UNCOMP;383;87;380;87;371;87;
2;C0002132_SEG_UNCOMP;469;87;212;87;360;87;
3;C0002132_SEG_UNCOMP;261;87;344;87;345;87;
4;C0002132_SEG_UNCOMP;338;87;211;87;379;87;
5;C0002132_SEG_UNCOMP;459;87;247;87;386;87;
6;C0002132_SEG_UNCOMP;221;87;292;87;387;87;
1;C0002136_SEG_UNCOMP;274;87;194;87;365;87;
2;C0002136_SEG_UNCOMP;455;87;383;87;363;87;
3;C0002136_SEG_UNCOMP;426;87;152;87;371;87;
4;C0002136_SEG_UNCOMP;439;87;134;87;405;87;
5;C0002136_SEG_UNCOMP;211;87;348;87;383;87;
6;C0002136_SEG_UNCOMP;505;87;361;87;398;87;
1;C0002141_SEG_UNCOMP;258;87;140;87;371;87;
2;C0002141_SEG_UNCOMP;420;87;314;87;347;87;
3;C0002141_SEG_UNCOMP;273;87;210;87;359;87;
4;C0002141_SEG_UNCOMP;349;87;291;87;381;87;
5;C0002141_SEG_UNCOMP;295;87;263;87;395;87;
6;C0002141_SEG_UNCOMP;380;87;192;87;393;87;
1;C0002147_SEG_UNCOMP;359;87;282;87;355;87;
2;C0002147_SEG_UNCOMP;394;87;174;87;353;87;
3;C0002147_SEG_UNCOMP;453;87;207;87;367;87;
4;C0002147_SEG_UNCOMP;451;87;269;87;407;87;
5;C0002147_SEG_UNCOMP;497;87;233;87;383;87;
6;C0002147_SEG_UNCOMP;400;87;125;87;396;87;
1;C0002152_SEG_UNCOMP;305;87;368;87;375;87;
2;C0002152_SEG_UNCOMP;277;87;365;87;352;87;
3;C0002152_SEG_UNCOMP;465;87;258;87;375;87;
4;C0002152_SEG_UNCOMP;354;87;350;87;386;87;
5;C0002152_SEG_UNCOMP;364;87;129;87;407;87;
6;C0002152_SEG_UNCOMP;282;87;229;87;376;87;
1;C0002156_SEG_UNCOMP;534;87;344;87;363;87;
2;C0002156_SEG_UNCOMP;282;87;393;87;370;87;
3;C0002156_SEG_UNCOMP;309;87;429;87;356;87;
4;C0002156_SEG_UNCOMP;536;87;250;87;384;87;
5;C0002156_SEG_UNCOMP;466;87;346;87;385;87;
6;C0002156_SEG_UNCOMP;410;87;394;87;397;87;
1;C0002163_SEG_UNCOMP;305;87;294;87;348;87;
2;C0002163_SEG_UNCOMP;356;87;398;87;365;87;
3;C0002163_SEG_UNCOMP;400;87;312;87;354;87;
4;C0002163_SEG_UNCOMP;252;87;184;87;409;87;
5;C0002163_SEG_UNCOMP;532;87;353;87;385;87;
6;C0002163_SEG_UNCOMP;439;87;352;87;397;87;
1;C0002167_SEG_UNCOMP;427;87;204;87;348;87;
2;C0002167_SEG_UNCOMP;251;87;173;87;363;87;
3;C0002167_SEG_UNCOMP;429;87;324;87;364;87;
4;C0002167_SEG_UNCOMP;262;87;163;87;392;87;
5;C0002167_SEG_UNCOMP;294;87;166;87;391;87;
6;C0002167_SEG_UNCOMP;283;87;177;87;409;87;
1;C0002173_SEG_UNCOMP;347;87;360;87;353;87;
2;C0002173_SEG_UNCOMP;494;87;191;87;353;87;
3;C0002173_SEG_UNCOMP;383;87;335;87;354;87;
4;C0002173_SEG_UNCOMP;313;87;335;87;389;87;
5;C0002173_SEG_UNCOMP;490;87;330;87;387;87;
6;C0002173_SEG_UNCOMP;318;87;137;87;406;87;
1;C0002177_SEG_UNCOMP;312;87;321;87;347;87;
2;C0002177_SEG_UNCOMP;309;87;113;87;345;87;
3;C0002177_SEG_UNCOMP;329;87;140;87;367;87;
4;C0002177_SEG_UNCOMP;486;87;247;87;390;87;
5;C0002177_SEG_UNCOMP;434;87;192;87;387;87;
6;C0002177_SEG_UNCOMP;398;87;288;87;408;87;
1;C0002184_SEG_UNCOMP;258;87;153;87;371;87;
2;C0002184_SEG_UNCOMP;442;87;315;87;354;87;
3;C0002184_SEG_UNCOMP;307;87;124;87;354;87;
4;C0002184_SEG_UNCOMP;325;87;113;87;385;87;
5;C0002184_SEG_UNCOMP;498;87;282;87;395;87;
6;C0002184_SEG_UNCOMP;260;87;208;87;400;87;
1;C0002187_SEG_UNCOMP;303;87;198;87;350;87;
2;C0002187_SEG_UNCOMP;370;87;145;87;354;87;
3;C0002187_SEG_UNCOMP;300;87;112;87;361;87;
4;C0002187_SEG_UNCOMP;262;87;209;87;400;87;
5;C0002187_SEG_UNCOMP;214;87;229;87;388;87;
6;C0002187_SEG_UNCOMP;387;87;137;87;376;87;
1;C0002192_SEG_UNCOMP;292;87;309;87;360;87;
2;C0002192_SEG_UNCOMP;531;87;331;87;344;87;
3;C0002192_SEG_UNCOMP;198;87;364;87;369;87;
4;C0002192_SEG_UNCOMP;530;87;187;87;387;87;
5;C0002192_SEG_UNCOMP;254;87;280;87;382;87;
6;C0002192_SEG_UNCOMP;229;87;232;87;393;87;
1;C0002198_SEG_UNCOMP;447;87;325;87;364;87;
2;C0002198_SEG_UNCOMP;362;87;215;87;347;87;
3;C0002198_SEG_UNCOMP;440;87;275;87;375;87;
4;C0002198_SEG_UNCOMP;394;87;91;87;379;87;
5;C0002198_SEG_UNCOMP;407;87;272;87;383;87;
6;C0002198_SEG_UNCOMP;227;87;213;87;378;87;
1;C0002202_SEG_UNCOMP;157;87;277;87;344;87;
2;C0002202_SEG_UNCOMP;214;87;355;87;362;87;
3;C0002202_SEG_UNCOMP;351;87;142;87;355;87;
4;C0002202_SEG_UNCOMP;232;87;384;87;407;87;
5;C0002202_SEG_UNCOMP;284;87;388;87;391;87;
6;C0002202_SEG_UNCOMP;262;87;135;87;384;87;
1;C0002210_SEG_UNCOMP;276;87;269;87;367;87;
2;C0002210_SEG_UNCOMP;401;87;215;87;372;87;
3;C0002210_SEG_UNCOMP;483;87;241;87;351;87;
4;C0002210_SEG_UNCOMP;295;87;269;87;389;87;
5;C0002210_SEG_UNCOMP;364;87;119;87;393;87;
6;C0002210_SEG_UNCOMP;434;87;253;87;387;87;
1;C0002215_SEG_UNCOMP;250;87;374;87;343;87;
2;C0002215_SEG_UNCOMP;392;87;153;87;374;87;
3;C0002215_SEG_UNCOMP;330;87;386;87;344;87;
4;C0002215_SEG_UNCOMP;289;87;353;87;378;87;
5;C0002215_SEG_UNCOMP;414;87;371;87;401;87;
6;C0002215_SEG_UNCOMP;316;87;326;87;379;87;
1;C0002221_SEG_UNCOMP;442;87;232;87;372;87;
2;C0002221_SEG_UNCOMP;528;87;283;87;352;87;
3;C0002221_SEG_UNCOMP;526;87;245;87;348;87;
4;C0002221_SEG_UNCOMP;375;87;346;87;391;87;
5;C0002221_SEG_UNCOMP;316;87;280;87;403;87;
6;C0002221_SEG_UNCOMP;555;87;235;87;393;87;
1;C0002225_SEG_UNCOMP;258;87;267;87;360;87;
2;C0002225_SEG_UNCOMP;576;87;304;87;346;87;
3;C0002225_SEG_UNCOMP;561;87;349;87;350;87;
4;C0002225_SEG_UNCOMP;285;87;240;87;403;87;
5;C0002225_SEG_UNCOMP;277;87;254;87;410;87;
6;C0002225_SEG_UNCOMP;558;87;273;87;387;87;
1;C0002230_SEG_UNCOMP;302;87;261;87;343;87;
2;C0002230_SEG_UNCOMP;330;87;148;87;375;87;
3;C0002230_SEG_UNCOMP;326;87;303;87;359;87;
4;C0002230_SEG_UNCOMP;483;87;146;87;401;87;
5;C0002230_SEG_UNCOMP;335;87;184;87;376;87;
6;C0002230_SEG_UNCOMP;282;87;114;87;399;87;
