$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
5;C0001585_SEG_UNCOMP;257;87;336;87;385;87;
6;C0001585_SEG_UNCOMP;315;87;179;87;403;87;
1;C0001592_SEG_UNCOMP;356;87;303;87;342;87;
2;C0001592_SEG_UNCOMP;335;87;297;87;367;87;
3;C0001592_SEG_UNCOMP;491;87;335;87;356;87;
4;C0001592_SEG_UNCOMP;296;87;333;87;380;87;
5;C0001592_SEG_UNCOMP;359;87;363;87;400;87;
6;C0001592_SEG_UNCOMP;534;87;318;87;389;87;
1;C0001600_SEG_UNCOMP;464;87;339;87;347;87;
2;C0001600_SEG_UNCOMP;311;87;202;87;342;87;
3;C0001600_SEG_UNCOMP;323;87;331;87;368;87;
4;C0001600_SEG_UNCOMP;389;87;244;87;407;87;
5;C0001600_SEG_UNCOMP;336;87;349;87;376;87;
6;C0001600_SEG_UNCOMP;296;87;304;87;408;87;
1;C0001608_SEG_UNCOMP;309;87;237;87;358;87;
2;C0001608_SEG_UNCOMP;316;87;97;87;363;87;
3;C0001608_SEG_UNCOMP;407;87;361;87;342;87;
4;C0001608_SEG_UNCOMP;453;87;161;87;377;87;
5;C0001608_SEG_UNCOMP;334;87;357;87;388;87;
6;C0001608_SEG_UNCOMP;246;87;301;87;390;87;
1;C0001616_SEG_UNCOMP;321;87;193;87;355;87;
2;C0001616_SEG_UNCOMP;350;87;126;87;361;87;
3;C0001616_SEG_UNCOMP;291;87;141;87;348;87;
4;C0001616_SEG_UNCOMP;296;87;288;87;400;87;
5;C0001616_SEG_UNCOMP;318;87;144;87;381;87;
6;C0001616_SEG_UNCOMP;458;87;223;87;392;87;
1;C0001624_SEG_UNCOMP;388;87;283;87;353;87;
2;C0001624_SEG_UNCOMP;263;87;267;87;367;87;
3;C0001624_SEG_UNCOMP;453;87;336;87;353;87;
4;C0001624_SEG_UNCOMP;442;87;258;87;385;87;
5;C0001624_SEG_UNCOMP;388;87;322;87;402;87;
6;C0001624_SEG_UNCOMP;440;87;336;87;396;87;
1;C0001635_SEG_UNCOMP;364;87;111;87;363;87;
2;C0001635_SEG_UNCOMP;315;87;282;87;354;87;
3;C0001635_SEG_UNCOMP;328;87;200;87;343;87;
4;C0001635_SEG_UNCOMP;326;87;126;87;398;87;
5;C0001635_SEG_UNCOMP;323;87;299;87;390;87;
6;C0001635_SEG_UNCOMP;250;87;333;87;400;87;
1;C0001641_SEG_UNCOMP;366;87;206;87;357;87;
2;C0001641_SEG_UNCOMP;549;87;432;87;345;87;
3;C0001641_SEG_UNCOMP;497;87;458;87;351;87;
4;C0001641_SEG_UNCOMP;476;87;361;87;384;87;
5;C0001641_SEG_UNCOMP;570;87;446;87;396;87;
6;C0001641_SEG_UNCOMP;573;87;308;87;391;87;
1;C0001648_SEG_UNCOMP;405;87;238;87;346;87;
2;C0001648_SEG_UNCOMP;464;87;318;87;361;87;
3;C0001648_SEG_UNCOMP;332;87;234;87;361;87;
4;C0001648_SEG_UNCOMP;465;87;209;87;396;87;
5;C0001648_SEG_UNCOMP;385;87;290;87;408;87;
6;C0001648_SEG_UNCOMP;346;87;151;87;402;87;
1;C0001653_SEG_UNCOMP;348;87;313;87;362;87;
2;C0001653_SEG_UNCOMP;389;87;110;87;367;87;
3;C0001653_SEG_UNCOMP;312;87;100;87;363;87;
4;C0001653_SEG_UNCOMP;225;87;252;87;376;87;
5;C0001653_SEG_UNCOMP;338;87;154;87;410;87;
6;C0001653_SEG_UNCOMP;340;87;281;87;380;87;
1;C0001657_SEG_UNCOMP;352;87;332;87;374;87;
2;C0001657_SEG_UNCOMP;301;87;259;87;365;87;
3;C0001657_SEG_UNCOMP;410;87;258;87;349;87;
4;C0001657_SEG_UNCOMP;427;87;273;87;399;87;
5;C0001657_SEG_UNCOMP;298;87;132;87;392;87;
6;C0001657_SEG_UNCOMP;347;87;98;87;384;87;
1;C0001662_SEG_UNCOMP;426;87;184;87;358;87;
2;C0001662_SEG_UNCOMP;293;87;277;87;364;87;
3;C0001662_SEG_UNCOMP;423;87;319;87;374;87;
4;C0001662_SEG_UNCOMP;516;87;361;87;390;87;
5;C0001662_SEG_UNCOMP;482;87;318;87;388;87;
6;C0001662_SEG_UNCOMP;489;87;355;87;381;87;
1;C0001667_SEG_UNCOMP;271;87;289;87;344;87;
2;C0001667_SEG_UNCOMP;399;87;161;87;357;87;
3;C0001667_SEG_UNCOMP;273;87;150;87;348;87;
4;C0001667_SEG_UNCOMP;314;87;158;87;397;87;
5;C0001667_SEG_UNCOMP;263;87;298;87;386;87;
6;C0001667_SEG_UNCOMP;236;87;246;87;395;87;
1;C0001674_SEG_UNCOMP;254;87;193;87;375;87;
2;C0001674_SEG_UNCOMP;478;87;286;87;360;87;
3;C0001674_SEG_UNCOMP;254;87;214;87;354;87;
4;C0001674_SEG_UNCOMP;417;87;327;87;385;87;
5;C0001674_SEG_UNCOMP;394;87;206;87;405;87;
6;C0001674_SEG_UNCOMP;463;87;318;87;382;87;
1;C0001679_SEG_UNCOMP;338;87;382;87;347;87;
2;C0001679_SEG_UNCOMP;256;87;283;87;354;87;
3;C0001679_SEG_UNCOMP;220;87;321;87;364;87;
4;C0001679_SEG_UNCOMP;392;87;217;87;390;87;
5;C0001679_SEG_UNCOMP;257;87;313;87;377;87;
6;C0001679_SEG_UNCOMP;212;87;334;87;379;87;
1;C0001684_SEG_UNCOMP;430;87;318;87;371;87;
2;C0001684_SEG_UNCOMP;415;87;175;87;341;87;
3;C0001684_SEG_UNCOMP;313;87;171;87;358;87;
4;C0001684_SEG_UNCOMP;267;87;295;87;397;87;
5;C0001684_SEG_UNCOMP;323;87;137;87;380;87;
6;C0001684_SEG_UNCOMP;526;87;268;87;395;87;
1;C0001691_SEG_UNCOMP;314;87;99;87;342;87;
2;C0001691_SEG_UNCOMP;259;87;353;87;362;87;
3;C0001691_SEG_UNCOMP;344;87;279;87;359;87;
4;C0001691_SEG_UNCOMP;395;87;251;87;390;87;
5;C0001691_SEG_UNCOMP;423;87;304;87;387;87;
6;C0001691_SEG_UNCOMP;294;87;143;87;409;87;
1;C0001696_SEG_UNCOMP;318;87;281;87;346;87;
2;C0001696_SEG_UNCOMP;301;87;286;87;363;87;
3;C0001696_SEG_UNCOMP;291;87;373;87;371;87;
4;C0001696_SEG_UNCOMP;464;87;297;87;406;87;
5;C0001696_SEG_UNCOMP;234;87;380;87;376;87;
6;C0001696_SEG_UNCOMP;244;87;319;87;403;87;
1;C0001702_SEG_UNCOMP;226;87;266;87;360;87;
2;C0001702_SEG_UNCOMP;475;87;259;87;369;87;
3;C0001702_SEG_UNCOMP;400;87;253;87;344;87;
4;C0001702_SEG_UNCOMP;308;87;332;87;400;87;
5;C0001702_SEG_UNCOMP;363;87;302;87;387;87;
6;C0001702_SEG_UNCOMP;279;87;112;87;387;87;
