$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
4;350404_C0000120_SEG_UNCOMP;300;87;219;87;42;87;
5;350404_C0000120_SEG_UNCOMP;111;87;273;87;71;87;
6;350404_C0000120_SEG_UNCOMP;283;87;209;87;65;87;
1;350405_C0000145_SEG_UNCOMP;384;87;153;87;22;87;
2;350405_C0000145_SEG_UNCOMP;128;87;362;87;29;87;
3;350405_C0000145_SEG_UNCOMP;165;87;307;87;13;87;
4;350405_C0000145_SEG_UNCOMP;186;87;176;87;75;87;
5;350405_C0000145_SEG_UNCOMP;323;87;126;87;66;87;
6;350405_C0000145_SEG_UNCOMP;184;87;405;87;43;87;
1;350608_C0000085_SEG_UNCOMP;246;87;287;87;22;87;
2;350608_C0000085_SEG_UNCOMP;180;87;282;87;6;87;
3;350608_C0000085_SEG_UNCOMP;177;87;210;87;10;87;
4;350608_C0000085_SEG_UNCOMP;301;87;146;87;61;87;
5;350608_C0000085_SEG_UNCOMP;267;87;285;87;59;87;
6;350608_C0000085_SEG_UNCOMP;271;87;223;87;72;87;
1;350701_C0000082_SEG_UNCOMP;394;87;356;87;2;87;
2;350701_C0000082_SEG_UNCOMP;403;87;240;87;7;87;
3;350701_C0000082_SEG_UNCOMP;73;87;152;87;8;87;
4;350701_C0000082_SEG_UNCOMP;186;87;203;87;61;87;
5;350701_C0000082_SEG_UNCOMP;250;87;358;87;45;87;
6;350701_C0000082_SEG_UNCOMP;338;87;247;87;68;87;
1;350701_C0000083_SEG_UNCOMP;297;87;228;87;17;87;
2;350701_C0000083_SEG_UNCOMP;136;87;192;87;27;87;
3;350701_C0000083_SEG_UNCOMP;252;87;240;87;31;87;
4;350701_C0000083_SEG_UNCOMP;264;87;253;87;59;87;
5;350701_C0000083_SEG_UNCOMP;131;87;216;87;45;87;
6;350701_C0000083_SEG_UNCOMP;186;87;190;87;59;87;
1;350702_C0000096_SEG_UNCOMP;86;87;207;87;36;87;
2;350702_C0000096_SEG_UNCOMP;251;87;229;87;29;87;
3;350702_C0000096_SEG_UNCOMP;131;87;207;87;22;87;
4;350702_C0000096_SEG_UNCOMP;156;87;276;87;53;87;
5;350702_C0000096_SEG_UNCOMP;270;87;248;87;60;87;
6;350702_C0000096_SEG_UNCOMP;102;87;246;87;69;87;
1;350704_C0000129_SEG_UNCOMP;183;87;142;87;39;87;
2;350704_C0000129_SEG_UNCOMP;143;87;168;87;36;87;
3;350704_C0000129_SEG_UNCOMP;227;87;301;87;4;87;
4;350704_C0000129_SEG_UNCOMP;406;87;134;87;60;87;
5;350704_C0000129_SEG_UNCOMP;97;87;190;87;75;87;
6;350704_C0000129_SEG_UNCOMP;182;87;117;87;62;87;
1;350901_C0000049_SEG_UNCOMP;212;87;204;87;28;87;
2;350901_C0000049_SEG_UNCOMP;87;87;145;87;6;87;
3;350901_C0000049_SEG_UNCOMP;158;87;224;87;33;87;
4;350901_C0000049_SEG_UNCOMP;257;87;152;87;70;87;
5;350901_C0000049_SEG_UNCOMP;176;87;246;87;47;87;
6;350901_C0000049_SEG_UNCOMP;214;87;204;87;49;87;
1;350902_C0000057_SEG_UNCOMP;237;87;322;87;36;87;
2;350902_C0000057_SEG_UNCOMP;366;87;295;87;14;87;
3;350902_C0000057_SEG_UNCOMP;294;87;154;87;16;87;
4;350902_C0000057_SEG_UNCOMP;246;87;323;87;52;87;
5;350902_C0000057_SEG_UNCOMP;205;87;126;87;78;87;
6;350902_C0000057_SEG_UNCOMP;96;87;292;87;56;87;
1;350903_C0000061_SEG_UNCOMP;225;87;131;87;25;87;
2;350903_C0000061_SEG_UNCOMP;119;87;218;87;17;87;
3;350903_C0000061_SEG_UNCOMP;178;87;171;87;2;87;
4;350903_C0000061_SEG_UNCOMP;89;87;123;87;53;87;
