BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.0723,1.771,44.27186385661781,103.7691336342728,206.65896528589195,18.41980744612833,39.32818718925573,27.84495374871316,0.12363233845226665,0.06907949446568948,0.0788096212941592,1,310101_C0000118_SEG_UNCOMP,0.7216100000000001,1.00072,1.27766,0.5443958783192407
0.0398,1.7280000000000002,31.717687064684164,70.7618710299449,88.39712381829735,10.446408751946374,43.51562832629014,13.86683600922123,0.06278039303421505,0.051528039668176505,0.3137903673412369,2,310101_C0000118_SEG_UNCOMP,0.69081,1.11524,1.19395,0.9352888551680374
0.1711,1.7690000000000001,133.20409777174288,309.7549727918305,658.0405361726013,86.30544474973013,195.70694626195683,84.6081650938173,0.17655853591290652,0.054148779754147607,0.16400241488327116,3,310101_C0000118_SEG_UNCOMP,0.7245199999999999,0.9940200000000001,1.28146,0.22005148034569966
0.0795,1.883,38.45428056588909,55.343484122631004,286.6530458765866,14.356863110809462,49.43268159169432,23.99939816856597,0.11668175716364595,0.061808846690418986,0.08270534594637557,4,310101_C0000118_SEG_UNCOMP,0.7338399999999999,0.8841899999999999,1.3819700000000001,0.2674421420847708
0.0705,2.147,33.56249543876791,58.9834009442014,248.88130412732067,19.31532902610346,43.68869114563545,31.4470434158767,0.17438529319874668,0.0715512014023672,0.08496531482903354,5,310101_C0000118_SEG_UNCOMP,0.6801699999999999,0.85967,1.4601600000000001,0.4046453816375042
0.0736,2.318,28.349494697014237,76.90251622931773,317.39148564978734,16.439093328482777,39.71170917948997,19.908218961840863,0.1065592722272772,0.04197447291776675,0.07226433775599686,6,310101_C0000118_SEG_UNCOMP,0.63647,0.88797,1.47556,0.3983833935540597
0.0731,2.0980000000000003,39.71625376236293,232.50303675899448,258.40610274679483,20.5274158666004,89.54601595005543,23.96846612854818,0.05847241094162536,0.049418754926796975,0.19324079475132408,1,310201_C0000160_SEG_UNCOMP,0.62271,1.07102,1.30626,0.4957050190193321
0.1069,1.611,131.58578024532002,325.62520959159116,416.9317956739465,66.50515929242702,86.34318872944921,38.5984777964854,0.12265447015928392,0.049994483076237085,0.1125228390173194,2,310201_C0000160_SEG_UNCOMP,0.76166,1.01128,1.22706,0.5661146603764029
0.1306,1.964,122.69341857285866,184.67901938851293,723.5317754289952,63.8450607141077,97.21612979491884,65.57391333658515,0.2124114765440308,0.033740141275738794,0.06884756992553391,3,310201_C0000160_SEG_UNCOMP,0.7217,0.86087,1.41743,0.4527752297311391
0.0923,1.955,97.78150781628081,245.52154244165843,326.4330865347661,50.76434368420101,109.57967692981536,42.895626749347954,0.13814553210462505,0.05213037046100838,0.20327779872394372,4,310201_C0000160_SEG_UNCOMP,0.64841,1.08399,1.2676,0.25660187019649044
0.0736,2.068,34.79820924975623,46.660818235664046,253.59621737450848,14.664473319195855,24.128257812724218,19.97495614318006,0.167946515037053,0.0367454154678484,0.04035160825795606,5,310201_C0000160_SEG_UNCOMP,0.71385,0.8096800000000001,1.47648,0.5350536633526363
0.124,1.631,195.32331132952407,377.6178302564286,443.36419727582563,95.84310170229686,108.63375281215168,57.96887157020599,0.15606720410356467,0.06662626890733833,0.14797455121184813,6,310201_C0000160_SEG_UNCOMP,0.7317100000000001,1.07482,1.19346,0.3895253680227587
0.2062,2.0380000000000003,248.42539764746562,326.5603821846801,1197.8479426431736,112.11478950447722,189.51318646753958,153.5781810429446,0.24914731283536395,0.06635498232773565,0.06835620629161278,1,350104_C0000094_SEG_UNCOMP,0.71354,0.83249,1.45397,0.1807440238221159
0.272,2.498,285.9361428277573,850.8785605489899,1804.4764176975561,185.5311275622782,469.1189869956698,224.0684121397593,0.16488416662011834,0.0599779699052522,0.12001341846832313,2,350104_C0000094_SEG_UNCOMP,0.58623,0.94935,1.46442,0.1696248988316364
0.2538,2.3,288.35798841992374,453.8504575908378,1774.34471264719,144.81157751964173,294.8711427776894,221.1590089999065,0.2400065787925689,0.0561959636659501,0.07686691911160058,3,350104_C0000094_SEG_UNCOMP,0.67102,0.7854300000000001,1.54355,0.10136519974660181
0.1118,1.956,97.11335371165255,116.08024518192221,535.8309267267634,44.005121538729256,73.42998084768936,60.851981948710296,0.2532591811453787,0.061420429626766915,0.059325305802236786,4,350104_C0000094_SEG_UNCOMP,0.73646,0.8231200000000001,1.44042,0.36417971747348765
0.0802,2.041,58.792089501579596,83.57991743843762,408.67992774905883,33.489584014673106,58.2084424662449,42.75463694130393,0.2481449302448093,0.04756544383187253,0.056061458790243865,5,350104_C0000094_SEG_UNCOMP,0.71404,0.8284299999999999,1.45754,0.5105145886454405
0.1939,2.326,179.51743702544,339.97231896524846,1188.8555778795576,108.88859162391334,225.8647436062369,120.8591774812636,0.225158793223093,0.044566073590583434,0.0817658457964602,6,350104_C0000094_SEG_UNCOMP,0.6321899999999999,0.89751,1.4703,0.27255688327620753
0.1385,1.864,173.70578392417525,170.3827511382591,621.5687618057975,61.470922654303706,100.53028610743827,89.17993582567335,0.2525241140009312,0.07675511761787336,0.08497455551957597,1,350107_C0000104_SEG_UNCOMP,0.76134,0.8197399999999999,1.4189200000000002,0.148983712157421
0.1593,1.8130000000000002,181.1405724175989,235.81459303972287,752.4525135741098,79.66804803210633,120.78144503589232,99.95270162521892,0.2667989745613251,0.0730912301516265,0.07765275519748223,2,350107_C0000104_SEG_UNCOMP,0.75671,0.87175,1.37155,0.16916727329662393
