BV/TV,ROI Number,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,Scan,Variation Coefficient,m1,m2,m3
0.2152,1.0,207.68428988055675,93.99476901390717,96.71244453030738,93.99476901390717,591.5504898085749,191.5651747092993,96.71244453030735,191.5651747092993,969.200264973529,571.2151552631196,255.480000382149,234.78622620876664,C0001406_SEG_UNCOMP,0.21088264366362552,0.6583,1.08107,1.26062
0.1363,2.0,128.0722035708649,42.37846158736628,38.740492590707795,42.37846158736628,251.2782965605712,78.84188957988464,38.740492590707795,78.84188957988464,432.8384726796259,245.84130408362876,119.36424038337412,114.70841872544963,C0001406_SEG_UNCOMP,0.1853910455683938,0.73725,1.02583,1.23692
0.1801,3.0,245.57774705224222,87.52199730244396,102.57263218796868,87.52199730244398,284.4397981345675,95.33842447237501,102.57263218796868,95.33842447237502,754.2632755299023,276.3949224375708,279.5688685421726,192.4323669645585,C0001406_SEG_UNCOMP,0.18845118921221146,0.83216,0.8938,1.27404
0.1989,4.0,252.2204409497429,98.99718441115132,87.16313045281058,98.99718441115131,505.67126712139674,132.99832101649662,87.16313045281058,132.99832101649662,888.3573107050709,412.44655595553877,249.65309122334682,254.2686697803747,C0001406_SEG_UNCOMP,0.21424491867608175,0.75473,1.00443,1.24084
0.1927,5.0,258.54857416445634,79.22136757109823,86.10560280188483,79.22136757109823,434.19024981675767,113.27247815543615,86.10560280188483,113.27247815543619,913.1169369948846,372.4694295208545,243.55397597724254,196.94012820418354,C0001406_SEG_UNCOMP,0.221315128847254,0.75295,0.9636,1.28346
0.1446,6.0,155.75688499801183,53.989986369690946,41.388824032701436,53.989986369690946,283.57716523028955,86.95433565774134,41.38882403270144,86.95433565774134,580.3334728805775,281.2215387841714,134.63602751190743,143.15457901192318,C0001406_SEG_UNCOMP,0.2551178793926466,0.7216600000000001,1.01785,1.2605
0.1624,1.0,155.98117735987924,73.53424397228709,60.8398261321879,73.53424397228709,482.36577261518414,128.60339868103523,60.83982613218791,128.60339868103523,768.4990219221244,386.67444288920717,170.6673587819364,159.2771211809476,C0001421_SEG_UNCOMP,0.2974052527623887,0.6792199999999999,1.00852,1.31227
0.2442,2.0,412.91032091646144,197.06651320161527,171.3011594673326,197.0665132016153,832.9631958752717,245.99793664361823,171.30115946733258,245.99793664361817,1519.6026179297553,695.918910392096,461.59826012066173,413.2678401519995,C0001421_SEG_UNCOMP,0.13224664985857773,0.69914,0.94324,1.35762
0.3336,3.0,567.8207879148727,280.56043779052067,260.01058679421936,280.5604377905207,1588.5798666931776,528.4789764255424,260.0105867942194,528.4789764255424,2701.159535841638,1497.8351529229215,696.0630816451634,563.2235353814466,C0001421_SEG_UNCOMP,0.09562707285033274,0.60378,0.97214,1.4240700000000002
0.302,4.0,474.16891304602535,222.28387008630943,209.73363670596294,222.28387008630946,1139.6920984265953,385.62113239023523,209.73363670596288,385.6211323902352,2128.404371773183,1132.4787599747756,538.1750672121971,466.20577469704233,C0001421_SEG_UNCOMP,0.13793321658415394,0.6328699999999999,0.98714,1.37999
0.1864,5.0,191.81013009827691,81.70352095524835,89.56957061601476,81.70352095524835,399.5104912365706,142.67792784229596,89.56957061601474,142.67792784229596,1000.8265350927583,444.64771179965004,258.26670284008264,182.14551360335295,C0001421_SEG_UNCOMP,0.26462657300663817,0.66328,0.95073,1.38599
0.3309,6.0,629.2243926545444,287.3810919154867,262.5312432301194,287.3810919154867,1433.3744210606617,449.8086335310027,262.5312432301193,449.8086335310026,2497.4269429538763,1211.496731563486,662.4246699070483,600.905693687527,C0001421_SEG_UNCOMP,0.1833497438365701,0.64083,0.9543799999999999,1.40479
0.2657,1.0,614.9176432357162,241.90815371336168,268.99476171229907,241.90815371336163,796.5060205162314,280.8553578301544,268.99476171229907,280.85535783015445,1742.6633744566884,735.7472139090218,694.7228401008972,423.28098090470746,C0001511_SEG_UNCOMP,0.13256901755687572,0.78476,0.8166399999999999,1.39859
0.2983,2.0,671.0683673574961,307.23122712998526,289.98217620979875,307.2312271299853,1171.3105824419938,428.15526196260157,289.9821762097987,428.1552619626016,2143.340292935213,1114.9861053857742,703.9300623293633,501.9874527135659,C0001511_SEG_UNCOMP,0.0844723955523423,0.6818,0.8977700000000001,1.4204299999999999
0.2737,3.0,493.0822237760131,248.38997645513598,248.64077505096472,248.38997645513598,979.8503728303234,349.89203417274877,248.6407750509647,349.89203417274877,1763.6608503192294,928.097427942453,599.4723239231906,472.76652459311373,C0001511_SEG_UNCOMP,0.09173365198801035,0.69075,0.96414,1.34511
0.2175,4.0,453.83331779991437,165.7137057350642,157.34860840449795,165.7137057350642,564.9955123820571,187.9847190749021,157.34860840449795,187.9847190749021,1304.2533422954493,501.8828908211305,398.7870720961891,289.4542580801399,C0001511_SEG_UNCOMP,0.11582679497855966,0.7633300000000001,0.86415,1.37253
0.3922,5.0,1252.704308254509,522.6952006967408,500.29232221815306,522.6952006967407,1798.8409729799969,610.1231359963864,500.2923222181531,610.1231359963865,3074.7465136955616,1526.269486835834,1189.0830086973876,971.7910945638849,C0001511_SEG_UNCOMP,0.1254965769315982,0.74216,0.8836700000000001,1.3741700000000001
0.2351,6.0,578.7431641959804,215.4907336291996,218.7421378854581,215.49073362919964,636.5025523823889,252.59242944061126,218.74213788545808,252.5924294406112,1442.2698387531955,660.3523731337747,545.4851451393018,369.57824743128236,C0001511_SEG_UNCOMP,0.16193161190308208,0.80501,0.84709,1.34791
0.1918,1.0,220.15716973276096,77.35368225113754,86.06492604443922,77.35368225113754,336.9373240192675,101.87168684955857,86.06492604443922,101.87168684955857,968.9255829372933,310.71591166089064,263.75252006901775,185.750758261227,C0001534_SEG_UNCOMP,0.18552121924867387,0.7348100000000001,0.85234,1.41285
0.14,2.0,106.71251818003404,33.7833862218445,40.5213263070212,33.783386221844495,255.57500652782898,78.12572375457955,40.5213263070212,78.12572375457954,527.2980189066313,253.35234692458718,137.63597683807075,90.04918236014255,C0001534_SEG_UNCOMP,0.4018529965692317,0.68545,0.96242,1.35212
0.1739,3.0,133.41235760322314,40.01628959965702,54.01341340827971,40.01628959965702,234.46771478761687,83.01048616943076,54.01341340827971,83.01048616943076,820.663928788467,276.849001424273,171.79398673956473,125.50448744186261,C0001534_SEG_UNCOMP,0.26583838321620445,0.73895,0.98439,1.2766600000000001
0.3438,4.0,710.5824146726868,302.881470543557,300.0461197984673,302.88147054355704,1378.3651787734455,441.9848924292001,300.0461197984673,441.9848924292001,2435.5512145022194,1217.1991498519515,765.0636883208646,648.5640276534682,C0001534_SEG_UNCOMP,0.1918183289433155,0.68148,0.92456,1.39395
0.1578,5.0,111.5311381290362,53.297603958240245,42.44390967951607,53.297603958240245,219.59583854195463,73.28781557904702,42.443909679516075,73.28781557904702,631.9690450878547,255.04522762107123,137.13203925206975,142.1087351058451,C0001534_SEG_UNCOMP,0.18271100580253852,0.71201,0.95065,1.33733
0.2915,6.0,444.6273873003574,220.70450110023054,202.7026366933878,220.70450110023054,962.3391830871038,324.9009782211851,202.70263669338777,324.900978221185,1948.4838498625757,938.782115379114,570.2497713071402,488.28558443887437,C0001534_SEG_UNCOMP,0.2498262504857449,0.6688,0.92976,1.40144
0.1776,1.0,117.83451160142603,52.37500541396904,52.641640848427826,52.37500541396904,395.2188731189204,129.52890902837166,52.64164084842781,129.52890902837163,789.8053803750745,403.9531976269298,159.99734428734874,130.03357030312762,C0001546_SEG_UNCOMP,0.26295102884453747,0.6554800000000001,0.9713200000000001,1.37321
0.1861,2.0,162.16966944301723,81.21742093326465,64.60524265792394,81.21742093326463,442.34427590565906,134.2617743953591,64.60524265792392,134.26177439535908,930.8463919941704,400.50212783680706,196.4141632311424,199.24915192351676,C0001546_SEG_UNCOMP,0.282564260360012,0.68279,0.9939899999999999,1.32323
0.0921,3.0,77.01945305143579,16.598002419231513,23.319852143357107,16.598002419231513,106.6303576467228,28.68969045016967,23.319852143357103,28.689690450169664,253.37402711583877,97.6848566851132,72.50316732005822,49.71112964794516,C0001546_SEG_UNCOMP,0.40351570022307365,0.76012,0.90996,1.32992
0.0765,4.0,40.169350626343636,19.2949763864244,20.167767690759252,19.294976386424402,110.68389283371228,42.85199956270118,20.167767690759252,42.85199956270117,268.0182723743193,122.14138555714457,53.717732397620345,50.18187227082759,C0001546_SEG_UNCOMP,0.6237009048377532,0.6874100000000001,0.98675,1.32584
0.0616,5.0,31.59405304479855,9.918387561212459,7.581971172507588,9.91838756121246,36.792653297796804,5.9284353444271085,7.581971172507588,5.928435344427108,119.36937975942438,28.266197002896146,24.03772438588845,26.966377534883467,C0001546_SEG_UNCOMP,0.3585995123054245,0.76137,0.9394,1.2992299999999999
0.0469,6.0,17.086430052934862,9.152396482972415,8.335301314754595,9.152396482972415,57.715204487093445,21.432523228469417,8.335301314754595,21.432523228469414,144.35619744278225,63.461740997186794,27.07149393340996,25.157199583920736,C0001546_SEG_UNCOMP,0.7497576508806956,0.71959,0.95714,1.32326
0.1127,1.0,78.78450130120243,30.240573362178008,24.84829613553351,30.240573362178004,141.26344187078206,46.10558331051948,24.848296135533506,46.105583310519485,382.7536087021236,153.62198821627683,91.66804787859124,80.34529254310144,C0001552_SEG_UNCOMP,0.35353393122092003,0.70505,0.9383799999999999,1.35657
