DOFs,Data type,Lambda0,Lambda0p,Mu0,NSamples,k,l
5.0,Complete,3116,1760,2459,292,1.643,1.089
3.0,Complete,2602,1470,2053,292,1.55,0.84
5.0,Windowed,3112,1755,2453,290,1.641,1.09
3.0,Windowed,2603,1467,2051,290,1.55,0.84
5.0,Filtered,2088,1215,1636,190,1.384,1.052
3.0,Filtered,2620,1524,2053,190,1.55,0.82
