BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.1221,1.689,93.48154481248724,237.80050316210082,428.58145708543486,41.33720717706893,99.91906539948559,57.671452674271535,0.10969039716130274,0.06534349584550497,0.11398696657807275,1,310101_C0000118_SEG_UNCOMP,0.74707,0.99142,1.26151,0.5443958783192407
0.0642,1.648,71.6255669058549,151.3305423068887,208.9561102430113,26.506461268903685,78.2827102050693,26.639581770480923,0.08537720878473341,0.04665754351397505,0.22730125891940986,2,310101_C0000118_SEG_UNCOMP,0.73035,1.06578,1.2038799999999998,0.9352888551680374
0.2623,1.673,289.02146289730945,662.4826474937273,1248.2315653367045,186.06719218636496,382.381696204218,179.20138965639134,0.1777851450312541,0.06364673146344099,0.16742539237736928,3,310101_C0000118_SEG_UNCOMP,0.75359,0.98565,1.26076,0.22005148034569968
0.1261,1.779,84.079465806691,129.19400995755726,560.5756892560785,31.305859056719303,102.2081975555694,55.255169493570826,0.11359524025242675,0.07320042335408783,0.09479723089785233,4,310101_C0000118_SEG_UNCOMP,0.7611,0.8851399999999999,1.35376,0.2674421420847708
0.1103,2.001,67.65654759635764,122.38274965780585,482.63115045224225,37.515891539610074,86.23663747922467,64.78777884020022,0.15853371391877372,0.0741848456515967,0.08786907624986304,5,310101_C0000118_SEG_UNCOMP,0.70198,0.89315,1.40487,0.4046453816375042
0.1146,2.09,55.98856760180706,166.17835404539153,602.0777758002027,33.190747305596105,81.73775747731264,41.85147170423864,0.10510703447888352,0.04603454802600829,0.0742522133995463,6,310101_C0000118_SEG_UNCOMP,0.67395,0.91747,1.40857,0.3983833935540597
0.1159,2.036,82.25276053944508,400.9667831010947,522.0140636391845,45.160858638208744,162.12668859359428,50.039683329699905,0.07418324813560895,0.05082089743484046,0.1709241700166392,1,310201_C0000160_SEG_UNCOMP,0.6452,1.04094,1.31386,0.4957050190193321
0.1627,1.633,223.63892329562103,507.22324587105004,814.9693734631122,108.68451825280941,157.72038519755273,78.50643834222363,0.12659455416721554,0.05231221383602557,0.10969476118164548,2,310201_C0000160_SEG_UNCOMP,0.76879,0.97585,1.25536,0.5661146603764029
0.2031,1.943,227.120150083167,340.5001722438712,1272.0271941961896,116.88347756160532,192.34783066996826,130.20931501782707,0.21053771329440665,0.039531324243479986,0.0764390010668672,3,310201_C0000160_SEG_UNCOMP,0.72992,0.85221,1.41787,0.4527752297311391
0.1515,1.843,165.0940029939226,434.9685219667988,680.0615179918873,90.38246188687592,204.54452827058608,87.85601018796619,0.1432651832861022,0.05355670662324327,0.17381691515778594,4,310201_C0000160_SEG_UNCOMP,0.68623,1.04936,1.26441,0.25660187019649044
0.0903,2.18,449.8427606004487,267.57731146113565,1031.0737385969057,142.45480306322563,188.57052585336854,276.8549697675899,0.341108282994004,0.12898141922393078,0.08334794305885812,5,310201_C0000160_SEG_UNCOMP,0.62735,1.00478,1.36786,0.9328228711079544
0.1945,1.666,313.81268473468583,612.0397079868533,866.1682020878584,158.32120169019777,211.65372283721013,116.0003525223877,0.15731409442950686,0.0669322689384822,0.1448087263985343,6,310201_C0000160_SEG_UNCOMP,0.7410899999999999,1.0242,1.23472,0.3895253680227587
0.3047,1.916,510.3748893992626,683.8051420965575,2056.7800017098903,227.6014468795097,382.18335213658827,314.1807079967885,0.2185170536964733,0.07861396633841976,0.08754203243758638,1,350104_C0000094_SEG_UNCOMP,0.74236,0.8351299999999999,1.4225,0.1807440238221159
0.3875,2.329,601.0174349834058,1546.2909236348826,2889.348620844934,364.70306521212143,811.2713349010407,433.93890770457114,0.16409886017872896,0.07177122911649529,0.1438000420147879,2,350104_C0000094_SEG_UNCOMP,0.6170800000000001,0.94603,1.43689,0.1696248988316364
0.3682,2.181,606.235868132238,874.0001755831274,2838.3895620654557,291.5161658090953,543.1330299335717,428.3192820957588,0.2366936585551178,0.06876110872268587,0.09247341777118494,3,350104_C0000094_SEG_UNCOMP,0.69387,0.79292,1.51321,0.1013651997466018
0.1787,1.894,198.91389661096144,268.0117025695454,1015.3110656496384,88.70281241043591,153.14289097704975,133.5032120422251,0.2162899712357952,0.06974492816296073,0.07028723876602765,4,350104_C0000094_SEG_UNCOMP,0.7512,0.8259799999999999,1.42282,0.3641797174734877
0.1451,1.933,135.05759049790754,199.64356788010025,830.0631421309024,84.23057547741446,128.90827563190592,98.2644707864368,0.2542088626583646,0.0512785317192336,0.06593905789196858,5,350104_C0000094_SEG_UNCOMP,0.73601,0.84104,1.42296,0.5105145886454405
0.2914,2.127,372.87050160185714,721.5563946925571,2015.7383416203704,219.834004365988,435.6412646389308,245.8660669036834,0.20857003729846207,0.05558326951343588,0.10097426904742372,6,350104_C0000094_SEG_UNCOMP,0.6653899999999999,0.91933,1.41528,0.27255688327620753
