BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2376,2.042,306.95254553117485,531.066012257238,1380.6171292852753,164.00572533061396,289.05319348978117,188.27887229332785,0.24740557861382736,0.06127503542399032,0.09838114337114515,1,C0001748_SEG_UNCOMP,0.68892,0.90451,1.40657
0.2303,2.07,267.74236469827315,562.748190670975,1261.5134648223886,141.1649798356869,276.54523760458653,158.469745144601,0.19411763860213957,0.05857354932944063,0.1137934846972791,2,C0001748_SEG_UNCOMP,0.66996,0.94339,1.38666
0.2216,2.167,237.89007194555106,525.1733757468811,1218.7550752152315,133.38389093933841,259.36735997758,149.7689613302016,0.20700880482231523,0.05792364357353633,0.101854678653684,3,C0001748_SEG_UNCOMP,0.6531,0.93165,1.41525
0.196,1.973,224.64443171383786,476.08931839256405,972.551523986137,108.24276987773754,249.13572742053591,139.45128304383948,0.18350998945208669,0.07513431096793267,0.12807852900743363,4,C0001748_SEG_UNCOMP,0.68438,0.96507,1.35055
0.204,2.065,227.8136303447278,519.0928163226025,1041.420584803172,107.11824373655153,278.7310042786952,139.44670711835204,0.1772701181848398,0.0721770743418836,0.1321972507569297,5,C0001748_SEG_UNCOMP,0.66532,0.96082,1.37386
0.3176,2.174,580.7984950046543,1146.1827311876878,2103.5085908711585,277.88965792628426,541.4667747843405,315.08930122860744,0.18698476526505348,0.07866710706818203,0.14092915634609285,6,C0001748_SEG_UNCOMP,0.65128,0.93293,1.41578
