BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2898,2.092,404.8197035343793,863.6610140415086,1818.704708307567,215.8427177884308,452.9193840674718,262.371764132912,0.18183424728490202,0.06672698091795239,0.12143218796448475,1,C0002225_SEG_UNCOMP,0.67,0.92857,1.40143
0.2433,2.279,209.44242072757012,614.9381094139302,1287.8354959038975,134.8035514662396,335.9006052513013,146.6771064942256,0.15774237524916987,0.059526949107868966,0.11905290591112266,2,C0002225_SEG_UNCOMP,0.61402,0.9864,1.39959
0.2624,2.264,289.44680403020146,776.9154053247984,1491.7606768918677,158.1996551398733,411.0763605807073,194.44916869109304,0.1510507362012056,0.07017319150821516,0.13174807666997015,3,C0002225_SEG_UNCOMP,0.60969,1.00996,1.38034
0.243,2.196,285.8649642032523,722.4417399465657,1500.9573139881356,138.0102737465186,369.7051033731264,174.87028647337755,0.15402986782106237,0.059531766138875605,0.12121456991620001,4,C0002225_SEG_UNCOMP,0.64366,0.9426,1.41373
0.2569,2.32,280.18574256705614,790.9221695626454,1622.1390887022567,150.11701700889208,419.9029184000958,181.77076668748987,0.15918176634611642,0.056594422143484625,0.12067059895426588,5,C0002225_SEG_UNCOMP,0.62036,0.94046,1.43918
0.2253,2.242,205.05671633008978,538.215464342693,1161.40500503557,114.35520387739098,313.62976129479733,151.36005024807298,0.15176700128107035,0.06654922707891028,0.12445933080887893,6,C0002225_SEG_UNCOMP,0.62131,0.9859,1.39279
