BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2878,2.023,544.4627997749394,1114.9690558486893,1804.993536553188,260.8581652851302,547.432409922447,310.4740699320391,0.1884365909427047,0.08929764458311007,0.15596127629581996,1,C0001934_SEG_UNCOMP,0.66726,0.983,1.34974
0.3032,1.949,672.1396602789283,846.6891959398065,1880.051617905122,251.2598319550752,487.71453830816256,355.8770521778581,0.23096563773755546,0.09420595393998325,0.13338776653930456,2,C0001934_SEG_UNCOMP,0.72391,0.86529,1.41081
0.3073,2.089,605.9024021875088,1241.709566739482,2016.6059902788234,302.14388025776464,616.7487849991089,369.62816683381016,0.19345317501696327,0.0904836180401105,0.15580622508001857,3,C0001934_SEG_UNCOMP,0.66053,0.95956,1.37991
0.2898,1.868,511.7571585776082,813.6301740650895,1694.779405863206,257.6469491640303,467.9224560684679,328.9560416865446,0.23746967783118134,0.09852709143621038,0.12988694581726162,4,C0001934_SEG_UNCOMP,0.72832,0.91118,1.3605
0.2395,1.793,360.98802697027907,468.5393035646696,1201.380422410801,176.10729933730744,303.18088326419684,246.5178271277004,0.2745187593868982,0.0957052983200806,0.11007753082660389,5,C0001934_SEG_UNCOMP,0.7631,0.86892,1.36798
0.2504,1.8,412.45157656674934,538.0974790330328,1310.3267775818501,194.1867633018372,332.00308820786626,272.93506960820383,0.2632466024446283,0.10347953512745278,0.11321259559042868,6,C0001934_SEG_UNCOMP,0.76043,0.87086,1.36871
