BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2526,2.299,349.08287790915665,845.6792260297934,1783.3936037773974,216.40187229672892,497.9560262196069,243.99080811570258,0.21762795220854156,0.05970610465427781,0.1293228807780161,1,C0001862_SEG_UNCOMP,0.61452,0.97258,1.41289
0.2934,2.296,509.812970594922,917.5025473572913,2121.601362743259,266.53105027395964,562.9124106602492,332.3433685162147,0.24162908425644095,0.0662216645323943,0.12094586966670351,2,C0001862_SEG_UNCOMP,0.63736,0.89921,1.46343
0.2306,2.046,360.362568586182,593.1002603104411,1553.0516616220154,204.86387400998674,361.6673575625536,248.31442193991413,0.29443626370308446,0.06711841491729678,0.09916556780978031,3,C0001862_SEG_UNCOMP,0.69743,0.87565,1.42693
0.3275,2.303,597.929818574529,1274.385272801908,2433.91290879221,301.45764489131125,742.2728197205762,378.5184989929565,0.20684986595057658,0.07468302609545696,0.14800867461862108,4,C0001862_SEG_UNCOMP,0.62616,0.93176,1.44208
0.2435,2.228,403.39073341085486,861.2916231039023,1741.374597117737,202.05374962669114,517.7735787117988,267.9397454606444,0.20274678609401672,0.07081564428963447,0.1396985404073373,5,C0001862_SEG_UNCOMP,0.64131,0.92975,1.42894
0.1739,1.74,244.180063183925,305.70619187388115,919.8233125370518,124.95589485441388,204.65969672024735,161.2868327700961,0.323558729187985,0.08197948543317664,0.09891464269119858,6,C0001862_SEG_UNCOMP,0.77468,0.87754,1.34777
