BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2125,2.115,242.96415883418834,429.49026034840546,1191.5038886083908,125.01990657069972,279.2938307134057,190.18341615829345,0.22573320911925104,0.0780325902745395,0.10068414550810934,1,C0001439_SEG_UNCOMP,0.68089,0.87922,1.4399
0.271,1.86,587.6123603829744,569.4808859501645,1707.0709950213259,215.68361789432277,314.43260676639255,325.69041959773807,0.2912170333006777,0.08927327681543248,0.09247378842019473,2,C0001439_SEG_UNCOMP,0.76598,0.80968,1.42434
0.2396,2.238,242.7196606025963,646.8553306212639,1335.404258044415,138.21673579172952,381.88101094401827,174.7355962032362,0.17803734626169943,0.06420698802283857,0.13848105941771954,3,C0001439_SEG_UNCOMP,0.62508,0.97576,1.39916
0.2242,2.412,207.99247418941263,597.3332912305374,1406.4696329289902,134.94701557278694,339.9766368338091,138.8346538247822,0.16227751759254636,0.041039066844405225,0.12217125740918434,4,C0001439_SEG_UNCOMP,0.58563,1.00201,1.41235
0.178,2.172,141.70763891234571,369.86870454143485,889.5266693420949,89.7966723500322,244.3695398162886,113.58923577705173,0.17643845479202497,0.06621955801355582,0.12028349320950174,5,C0001439_SEG_UNCOMP,0.64291,0.96049,1.3966
0.232,2.248,271.4714631018292,836.6089603150439,1436.9067910316426,190.3846406160958,442.16825046622245,198.57776041179812,0.16543604740897933,0.06507224820947999,0.14273513001894617,6,C0001439_SEG_UNCOMP,0.60466,1.03628,1.35906
