BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.3485,2.066,635.2090124825991,1375.3518415454223,2344.156642339581,339.6796733068334,657.832352055784,367.9159742683976,0.18069768682763182,0.07752847982395189,0.14423818570223992,1,C0002040_SEG_UNCOMP,0.66338,0.96596,1.37066
0.2371,2.306,228.0331274280838,554.7698227603736,1372.1053553749593,149.8253559615046,341.2966842521845,158.91757174816325,0.2132843277509631,0.04871428607661135,0.11192217957853506,2,C0002040_SEG_UNCOMP,0.60699,0.99315,1.39986
0.2289,2.149,248.11265554946942,551.3157407324511,1288.5447654983782,120.80066008361143,314.80389147574493,179.23016192917132,0.18417607691521812,0.07271083006422985,0.11069660741641,3,C0002040_SEG_UNCOMP,0.66333,0.91127,1.4254
0.1835,1.799,202.51052374753098,231.86475937159787,881.4106712300498,84.77047070219504,164.76263075316484,150.6580216948928,0.27662635376591077,0.07667902360889554,0.08466159036311675,4,C0002040_SEG_UNCOMP,0.7726,0.83733,1.39007
0.283,2.02,466.6897731317817,751.237173892832,1782.056340833239,214.46105799989266,420.1262646568121,285.0660769528457,0.23210514919157638,0.07279769943107708,0.11705631902536363,5,C0002040_SEG_UNCOMP,0.69924,0.88821,1.41255
0.1593,1.99,131.50007057596562,227.2235155915466,722.6265203746445,67.0920593490457,158.59526711422788,96.04788727922919,0.2127731595271767,0.054096371992992984,0.10355090180820462,6,C0002040_SEG_UNCOMP,0.7126,0.86968,1.41772
