BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.1337,1.967,73.03946882910078,169.6005676721233,510.17223641754305,56.970646969504514,100.66644520829219,54.176152999968856,0.24765435059689858,0.04073778943634975,0.08007349013803088,1,C0001684_SEG_UNCOMP,0.67488,0.99746,1.32765
0.2638,1.981,360.94049427870505,792.4376951363997,1480.2771399640324,183.47553661677537,463.2275327502537,235.39320264534098,0.17233507041569288,0.07732695989112867,0.1569044642221056,2,C0001684_SEG_UNCOMP,0.68378,0.9614,1.35482
0.338,1.976,534.4486545934285,1311.5658936403138,2012.9434203130002,327.3489529139789,699.1136737897289,337.09972281587494,0.18428738475207557,0.08418309896330863,0.17724413304048114,3,C0001684_SEG_UNCOMP,0.65428,1.05311,1.2926
0.3336,2.123,510.75285264054537,1322.525073949777,2272.565828553096,301.10977078989237,632.6247356230031,310.89040801285375,0.15540142999463574,0.06660000162863224,0.1493331625913633,4,C0001684_SEG_UNCOMP,0.64834,0.97542,1.37624
0.3661,2.069,565.2106480543338,1742.9490583594395,2315.177253516135,368.10582274701176,854.9933722196245,387.0927426020373,0.14106194890513654,0.08848711330324413,0.19909942999620608,5,C0001684_SEG_UNCOMP,0.62088,1.09447,1.28466
0.2131,1.913,238.36167589986422,492.4593141832223,1103.7970599669275,122.33448106654947,288.71251973139107,165.43590352537942,0.19735888231154428,0.07132485242718206,0.12680218560325285,6,C0001684_SEG_UNCOMP,0.71621,0.9139,1.3699
