BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.1127,1.924,71.70069647456721,126.08924911685726,364.60306059197745,40.17264627155072,76.81099410813842,45.834023939295626,0.20077719119486653,0.04073468222263161,0.09753592930022206,1,C0001552_SEG_UNCOMP,0.70505,0.93838,1.35657
0.2584,2.014,445.37854131171895,668.3767006922701,1677.6397572165195,217.60092151715065,371.8161164432933,308.2674449893682,0.24343464856643204,0.08044833973922014,0.11039966560032119,2,C0001552_SEG_UNCOMP,0.71771,0.8369,1.44539
0.0783,1.801,25.349183496509852,54.24456321616453,167.91422249564687,16.307516003055166,29.050582237856755,15.37539884686601,0.16916361300315622,0.034402515000005164,0.07373259467818145,3,C0001552_SEG_UNCOMP,0.73698,0.93577,1.32725
0.2214,1.901,273.26338614328955,338.56331567163863,1296.9259380403341,128.87327910401268,222.97539360229507,211.82161084877418,0.27704164475634585,0.06434715248398487,0.07624466129926391,4,C0001552_SEG_UNCOMP,0.75957,0.7965,1.44393
0.0936,1.793,35.84744465548313,58.92947233486154,212.90035308433963,19.937701356257307,36.28924334742916,24.10558262682958,0.19994449499356914,0.04750896487697325,0.08561101474555997,5,C0001552_SEG_UNCOMP,0.74932,0.90728,1.3434
0.2202,1.913,297.36433126997883,476.40951408547164,1252.6791734967576,165.53639814379838,273.9594201847443,203.08791315326042,0.22856942037146105,0.07413999129991934,0.10212588230179,6,C0001552_SEG_UNCOMP,0.72837,0.87832,1.39332
