BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2689,2.007,544.3344260108595,794.5104781566308,1689.4482445695642,222.9745871857976,443.7814972354829,272.53298579975,0.24592064897999538,0.07926812031290434,0.13415624724926464,1,C0002110_SEG_UNCOMP,0.69918,0.89752,1.4033
0.2065,1.98,400.71995139362576,501.601825435966,1212.8065733647827,153.8851901064618,257.5269418237968,208.37753352527272,0.23712254268529973,0.08799880051175578,0.10207632170593767,2,C0002110_SEG_UNCOMP,0.72776,0.83137,1.44088
0.3051,2.019,875.1667004911891,1001.0023422074836,2022.4098077988142,318.90279826530235,496.2039660286917,354.34476023348515,0.24160033458732336,0.09202255155871451,0.13275421463477988,3,C0002110_SEG_UNCOMP,0.704,0.87432,1.42168
0.2434,1.99,381.7129756380332,692.9904260783571,1472.4568004427263,194.53246228488885,409.2797434427238,226.54359284008737,0.25024877688680514,0.07127302681793177,0.13430936670991936,4,C0002110_SEG_UNCOMP,0.68414,0.95445,1.36141
0.3065,1.812,654.798690137471,1058.949894617829,2070.2251277380356,314.09482011631275,530.5840035266165,381.3228788922819,0.21950409112607303,0.09351643435837707,0.12887508239420295,5,C0002110_SEG_UNCOMP,0.75118,0.88738,1.36144
0.2556,2.045,473.66289682666456,732.474535887511,1630.0820647326836,206.61921293313628,419.54480892111275,261.6392190963901,0.2553537784426847,0.07746512240739255,0.12755868535574155,6,C0002110_SEG_UNCOMP,0.68521,0.91367,1.40112
