DOFs,Data type,Lambda0,Lambda0p,Mu0,NSamples,k,l
5.0,Grouped,4440,2705,3545,438,1.9,0.952
3.0,Control,4538,2855,3664,246,1.9,0.952
3.0,Test,4316,2525,3398,192,1.9,0.952
5.0,Control,6007,3778,4849,246,2.081,0.887
5.0,Test,3330,1948,2621,192,1.717,1.05
