BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.332,2.371,496.3531400912271,1298.4983397992132,2314.0488723456997,317.49502707154477,703.1368458021492,354.08769454418507,0.18131662694595338,0.07138944480402494,0.15289083799087055,1,C0002141_SEG_UNCOMP,0.5958,0.99174,1.41246
0.1418,1.86,119.27028692400916,298.2352535793112,544.4150708992023,62.36606747124989,127.97323437710064,69.56738620289175,0.18656946941714142,0.06671459426521904,0.10996366096287596,2,C0002141_SEG_UNCOMP,0.72745,0.91974,1.3528
0.227,2.244,253.42127038296996,456.19242289614056,1402.96461457266,144.05370546714502,303.40113360965677,179.3742496186138,0.25273917991542616,0.05821480401585346,0.10008109648535952,3,C0002141_SEG_UNCOMP,0.65566,0.87336,1.47099
0.1327,1.869,138.69845186372123,154.72053640811944,612.471778055542,58.325687586343996,92.78347458474181,74.75416784237481,0.30961451665808226,0.04485946485918736,0.07298278994032414,4,C0002141_SEG_UNCOMP,0.74961,0.8493,1.4011
0.183,1.979,222.5602099160715,304.5339949796409,1036.9004143762152,115.07105526100278,175.92436869526907,125.89142270582394,0.2944089014381467,0.05357820538792598,0.07914196903074122,5,C0002141_SEG_UNCOMP,0.71632,0.86618,1.4175
0.1339,1.975,123.16925794408705,168.9189639654269,600.9137042440265,49.15441000788646,119.1198358539076,68.21530427721295,0.20128715091816402,0.057191447484503485,0.1054915361114774,6,C0002141_SEG_UNCOMP,0.71589,0.86998,1.41413
