BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.2185,2.215,232.86165569045465,511.5068509857421,1381.5199471615367,131.32975648284327,309.2169253475206,154.3089613098702,0.20974834888887664,0.045153389628421955,0.11105512831101656,1,C0001600_SEG_UNCOMP,0.64768,0.91775,1.43457
0.1343,2.313,96.23392593564272,295.3862573280619,723.2879116294475,69.22318567327792,195.9782146248309,70.72098309031247,0.17335992496635333,0.04292436252882312,0.1118244193982105,2,C0001600_SEG_UNCOMP,0.58939,1.04757,1.36304
0.2583,1.996,513.8459533125624,620.1822132222597,1767.0392838944574,223.5589132728655,333.9503120614209,286.09577639296657,0.29105420960871875,0.08100403022130133,0.08750458672433963,3,C0001600_SEG_UNCOMP,0.73438,0.79971,1.46591
0.1071,2.14,70.33198234435137,148.83444865992408,500.08336993830034,41.418371463702385,77.90391521391349,42.570816795985664,0.1913863702752039,0.04039891501486307,0.07636313220611857,4,C0001600_SEG_UNCOMP,0.66058,0.92572,1.4137
0.2737,1.936,637.2868885823591,622.2378953203116,1877.3078929579908,214.9131884744295,366.91275338416494,323.1994102007121,0.29249089321720884,0.08622525419846641,0.09514128677437557,5,C0001600_SEG_UNCOMP,0.74778,0.80472,1.4475
0.2875,2.042,563.8436226622829,929.4741993327067,1965.8155720190366,242.16669090225633,443.28997486060763,324.6461816613467,0.20420064917155553,0.09088043705280513,0.11840456282952419,6,C0001600_SEG_UNCOMP,0.6996,0.87151,1.42889
