LogSxy,Sii,Sij,Sjj,LogBVTV,Logmxy,LogCV,Scan
3.8577634384614,1.0,0.0,0.0,-2.626931149817418,-0.6525409044732383,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
2.715648119852671,0.0,1.0,0.0,-2.626931149817418,-0.32555071131227026,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
2.8703788743335177,0.0,1.0,0.0,-2.626931149817418,-0.08124017236495373,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
2.715648119852671,0.0,1.0,0.0,-2.626931149817418,-0.32555071131227026,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
4.699501869486795,1.0,0.0,0.0,-2.626931149817418,0.0014394818486978538,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
3.0965527244005777,0.0,1.0,0.0,-2.626931149817418,0.2457500207960143,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
2.8703788743335177,0.0,1.0,0.0,-2.626931149817418,-0.08124017236495373,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
3.0965527244005777,0.0,1.0,0.0,-2.626931149817418,0.2457500207960143,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
5.374446398447851,1.0,0.0,0.0,-2.626931149817418,0.4900605597433307,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
4.365088673626499,0.0,0.0,1.0,-2.626931149817418,0.2457500207960143,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
4.019798936573556,0.0,0.0,1.0,-2.626931149817418,-0.08124017236495373,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
3.6065737578106614,0.0,0.0,1.0,-2.626931149817418,-0.32555071131227026,-0.6080785792855793,310101_C0000118_SEG_UNCOMP
3.4821060712782645,1.0,0.0,0.0,-3.223888366691745,-0.7397809136889987,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
1.9266370092539482,0.0,1.0,0.0,-3.223888366691745,-0.2608208284578796,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
1.9964531191839168,0.0,1.0,0.0,-3.223888366691745,-0.19262331879781627,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
1.9266370092539484,0.0,1.0,0.0,-3.223888366691745,-0.2608208284578796,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
4.408376986779641,1.0,0.0,0.0,-3.223888366691745,0.21813925677323945,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
3.50203273776972,0.0,1.0,0.0,-3.223888366691745,0.2863367664333028,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
1.9964531191839165,0.0,1.0,0.0,-3.223888366691745,-0.19262331879781627,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
3.50203273776972,0.0,1.0,0.0,-3.223888366691745,0.2863367664333028,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
4.629491424055955,1.0,0.0,0.0,-3.223888366691745,0.3545342760933662,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
4.466267326000638,0.0,0.0,1.0,-3.223888366691745,0.2863367664333028,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
3.3226472712879387,0.0,0.0,1.0,-3.223888366691745,-0.19262331879781627,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
3.0394054398052748,0.0,0.0,1.0,-3.223888366691745,-0.2608208284578796,-0.06689986139575646,310101_C0000118_SEG_UNCOMP
5.006929737990039,1.0,0.0,0.0,-1.7655070980839893,-0.6444918247148425,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
4.277083072308878,0.0,1.0,0.0,-1.7655070980839893,-0.32824386416105733,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
4.175497723758006,0.0,1.0,0.0,-1.7655070980839893,-0.07424585944435283,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
4.277083072308878,0.0,1.0,0.0,-1.7655070980839893,-0.32824386416105733,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
5.895074782766919,1.0,0.0,0.0,-1.7655070980839893,-0.011995903607271995,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
4.982401244167365,0.0,1.0,0.0,-1.7655070980839893,0.2420021011094325,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
4.175497723758006,0.0,1.0,0.0,-1.7655070980839893,-0.07424585944435283,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
4.982401244167365,0.0,1.0,0.0,-1.7655070980839893,0.2420021011094325,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
6.587898758403717,1.0,0.0,0.0,-1.7655070980839893,0.4960001058261369,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
5.969765548772313,0.0,0.0,1.0,-1.7655070980839893,0.2420021011094325,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
5.131177956626251,0.0,0.0,1.0,-1.7655070980839893,-0.07424585944435283,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
5.151039867617811,0.0,0.0,1.0,-1.7655070980839893,-0.32824386416105733,-1.5138937584325107,310101_C0000118_SEG_UNCOMP
3.7103431486669542,1.0,0.0,0.0,-2.5319982573218507,-0.6189285155614741,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
2.1667050295114403,0.0,1.0,0.0,-2.5319982573218507,-0.43254756509313436,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
3.1165867154539955,0.0,1.0,0.0,-2.5319982573218507,0.014045759659082703,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
2.1667050295114407,0.0,1.0,0.0,-2.5319982573218507,-0.43254756509313436,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
4.081612144567062,1.0,0.0,0.0,-2.5319982573218507,-0.2461666146247946,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
3.380973267813952,0.0,1.0,0.0,-2.5319982573218507,0.20042671012742252,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
3.1165867154539955,0.0,1.0,0.0,-2.5319982573218507,0.014045759659082703,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
3.3809732678139515,0.0,1.0,0.0,-2.5319982573218507,0.20042671012742252,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
5.735428690970443,1.0,0.0,0.0,-2.5319982573218507,0.6470200348796395,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
4.593758956694479,0.0,0.0,1.0,-2.5319982573218507,0.20042671012742252,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
3.8711759342837238,0.0,0.0,1.0,-2.5319982573218507,0.014045759659082703,-1.3188520273122912,310101_C0000118_SEG_UNCOMP
