BV/TV,ROI Number,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,Scan,Variation Coefficient,m1,m2,m3
0.0723,1.0,47.35931081687891,15.114402842651623,17.643701679372505,15.114402842651623,109.89241804923608,22.121560571198078,17.6437016793725,22.121560571198078,215.82036074607834,78.65637437851146,55.689907497426326,36.83961489225666,310101_C0000118_SEG_UNCOMP,0.5443958783192407,0.7216100000000001,1.00072,1.27766
0.0398,2.0,32.52815660292886,6.8663797979278804,7.362894421207751,6.86637979792788,82.13604737466027,33.182835451933464,7.36289442120775,33.182835451933464,102.46194117891855,87.03125665258028,27.73367201844246,20.892817503892747,310101_C0000118_SEG_UNCOMP,0.9352888551680374,0.69081,1.11524,1.19395
0.1711,3.0,149.44519514916098,72.03002689655492,65.07221959189519,72.03002689655492,363.24399927454346,145.82412090067137,65.07221959189519,145.82412090067137,726.2532319922458,391.41389252391366,169.2163301876346,172.61088949946026,310101_C0000118_SEG_UNCOMP,0.22005148034569966,0.7245199999999999,0.9940200000000001,1.28146
0.0795,4.0,40.86782786180361,8.72947324472364,22.569212876501815,8.729473244723641,59.24089779892372,29.399370654733957,22.569212876501815,29.399370654733954,309.645684619591,98.86536318338864,47.99879633713194,28.713726221618927,310101_C0000118_SEG_UNCOMP,0.2674421420847708,0.7338399999999999,0.8841899999999999,1.3819700000000001
0.0705,5.0,37.731715018680205,13.681314552352488,24.924802035497745,13.681314552352484,65.79732034551692,30.848252844775182,24.924802035497745,30.848252844775182,273.16550994831954,87.3773822912709,62.8940868317534,38.63065805220692,310101_C0000118_SEG_UNCOMP,0.4046453816375042,0.6801699999999999,0.85967,1.4601600000000001
0.0736,6.0,30.128166527940795,9.946320456185084,17.124673922276894,9.946320456185084,81.88010169974875,29.094740785833547,17.12467392227689,29.09474078583355,334.1163936941547,79.42341835897994,39.816437923681725,32.87818665696555,310101_C0000118_SEG_UNCOMP,0.3983833935540597,0.63647,0.88797,1.47556
0.0731,1.0,41.58946677826138,17.548622929196565,17.14132065402359,17.548622929196572,249.97487009134457,59.32949149526635,17.14132065402359,59.32949149526635,276.6597876981531,179.09203190011087,47.93693225709636,41.0548317332008,310201_C0000160_SEG_UNCOMP,0.4957050190193321,0.62271,1.07102,1.30626
0.1069,2.0,138.56044690292944,45.259881663828146,28.469938382805747,45.25988166382814,345.7749863018032,56.98696634791276,28.469938382805744,56.98696634791276,429.6520515406099,172.68637745889842,77.1969555929708,133.01031858485405,310201_C0000160_SEG_UNCOMP,0.5661146603764029,0.76166,1.01128,1.22706
0.1306,3.0,133.64825672670818,45.404406083337115,38.83864046015024,45.404406083337115,203.5987108541183,63.950629925316136,38.83864046015023,63.95062992531613,748.5088021831336,194.43225958983768,131.1478266731703,127.69012142821539,310201_C0000160_SEG_UNCOMP,0.4527752297311391,0.7217,0.86087,1.41743
0.0923,4.0,105.214579816201,42.556198680976294,29.812243324627502,42.5561986809763,277.00724441414184,82.27230051542936,29.812243324627506,82.27230051542936,353.856925038531,219.15935385963073,85.79125349869591,101.52868736840202,310201_C0000160_SEG_UNCOMP,0.25660187019649044,0.64841,1.08399,1.2676
