BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.1892,1.368,283.3922906530887,316.98709327765715,471.7954006778799,121.6853590750821,199.02697651173563,142.78701301727006,0.19705902637521897,0.13819667051258666,0.22237061658983423,1,C0002202_SEG_UNCOMP,0.84056,1.00915,1.15028
0.1923,1.742,193.28050419918952,253.0514058202869,765.3236754238081,92.1186490736763,166.367833895902,120.98024738189865,0.21430983720675967,0.06561397022697854,0.08644711706797356,2,C0002202_SEG_UNCOMP,0.76006,0.91603,1.3239
0.3029,1.871,402.55467062030885,741.6499051430706,1498.6278446378656,227.80202811906966,415.01481921498316,285.04771253550155,0.19569429509098926,0.0877692358263631,0.13300235731287946,3,C0002202_SEG_UNCOMP,0.72172,0.92811,1.35016
0.2598,2.003,264.83078206307414,704.157066017995,1253.949237990836,164.85603166638776,364.4820294595398,184.11715633995064,0.14494759349564046,0.06950491114922984,0.15113229659400423,4,C0002202_SEG_UNCOMP,0.66456,1.00457,1.33088
0.2207,2.005,219.88264081038807,534.1817952944996,936.5895779073895,117.90647845710599,286.73841692626496,125.25882933463886,0.14981946172500207,0.06405048659151512,0.16201381013330587,5,C0002202_SEG_UNCOMP,0.65252,1.03888,1.3086
0.2631,1.929,366.12160548783555,460.9810012777863,1501.2851415076025,186.81040371282197,314.22024915419917,252.1854540779764,0.30261454134656174,0.06505250437925679,0.09249166441324505,6,C0002202_SEG_UNCOMP,0.7369,0.8414,1.42169
