BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.3062,1.444,839.1097095151371,948.9519061421314,1375.045044114198,350.08668631636993,370.521481971936,319.30051608272544,0.25784410612699143,0.11134615137621923,0.13310953856171553,1,C0002225_SEG_UNCOMP,0.85704,0.90497,1.23799
0.2083,1.359,341.99322719354393,572.0461656874733,474.9695076000106,183.04432111064568,170.94880385865488,135.17692522424318,0.1833981569829897,0.1264182227523789,0.15064374978732098,2,C0002225_SEG_UNCOMP,0.83892,1.02098,1.1401
0.2977,1.35,796.9211130604526,903.3745799669493,1289.6924156527825,326.5090225357493,294.2151612199519,316.6516793905928,0.24939866472571942,0.12978920630665722,0.11156538584872645,3,C0002225_SEG_UNCOMP,0.88815,0.91286,1.19899
0.2435,2.01,253.92140913840376,416.8056740492343,1259.818331315785,129.28616962592528,243.83317837030071,189.56752216869108,0.21821133691462855,0.06952772049717797,0.08033851955263184,4,C0002225_SEG_UNCOMP,0.70609,0.87492,1.41899
0.2431,1.822,327.6350069898278,412.50971714377215,1229.9690867880884,149.34250370713633,261.1890299101043,214.88000447105452,0.27604582061624955,0.07927062744853354,0.09459340501338945,5,C0002225_SEG_UNCOMP,0.76242,0.84853,1.38905
0.2572,2.06,271.9779384227011,576.285610960245,1391.795196484444,141.55118272724053,307.75232962678695,193.50160286249928,0.17766024386666077,0.06932601996297247,0.09930258599993795,6,C0002225_SEG_UNCOMP,0.68552,0.90238,1.4121
