BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.3402,1.627,945.5322023550066,1370.7424650664573,2014.3371236780438,415.49214821028414,574.3156304825351,416.785031724817,0.2297333769009298,0.11273113889275113,0.1453762890442671,1,C0001780_SEG_UNCOMP,0.76775,0.98339,1.24886
0.4263,1.626,1491.1792563282083,2117.6618209454464,2887.1391155869865,633.1023146297358,850.2111950077445,673.8077999730775,0.21176617722187066,0.13150448441611262,0.1603412249018033,2,C0001780_SEG_UNCOMP,0.77794,0.957,1.26506
0.2587,1.439,790.0623239074365,931.7390282062426,1180.0283244100613,319.70606658249284,364.162735879919,269.21169782669875,0.22913332950191248,0.11665045405392642,0.17552522902050782,3,C0001780_SEG_UNCOMP,0.817,1.00715,1.17585
0.2819,1.961,493.01355317732805,745.3913952764142,1900.3571167356367,255.85964034204287,412.9925999250896,335.9938797204184,0.2652303878552564,0.08326649254235377,0.09380749339701992,4,C0001780_SEG_UNCOMP,0.72151,0.86394,1.41455
0.2338,2.084,262.2224075865932,667.4530933922989,1226.694848517692,157.18731136755562,361.0264967341282,175.12146780003206,0.18281059951570333,0.06966992427228175,0.13891016845835405,5,C0001780_SEG_UNCOMP,0.63994,1.02616,1.3339
0.3218,2.039,577.7150126968165,1247.1030487992446,2078.9750353933973,318.8399441045444,635.3385308451843,341.7876984499517,0.20488488135905758,0.09221100238743611,0.14397754602547497,6,C0001780_SEG_UNCOMP,0.65674,1.00408,1.33918
