BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.3302,1.566,782.8628407468469,1124.5503077980568,1577.1864462503884,376.63388861293043,490.8720008792244,366.97651303567187,0.22543636654350527,0.12006209492504387,0.15793784121815302,1,C0001748_SEG_UNCOMP,0.79258,0.96642,1.241
0.3359,1.64,738.1813023995519,917.3267689609876,1865.3880332815763,358.37971555476196,464.43146642934624,391.34420323512785,0.26262142905474045,0.10867009181290803,0.11906762683202932,2,C0001748_SEG_UNCOMP,0.79629,0.89801,1.30571
0.3434,1.569,986.6819490911712,1092.068481545067,1879.6889354984498,434.8664703702419,448.0176097953983,414.6108772582335,0.2722309941488323,0.11300734172774705,0.12453330962819475,3,C0001748_SEG_UNCOMP,0.83028,0.86695,1.30277
0.2661,2.02,391.7684132147198,651.3453310386064,1523.0606279334027,189.51092670758126,330.14529550371213,247.29020163355437,0.22690668798695962,0.08161341368513571,0.10266483965382875,4,C0001748_SEG_UNCOMP,0.70724,0.86446,1.4283
0.1869,1.887,201.29900659163877,281.7791875481209,828.8708977841195,69.92794309492888,153.14263663633406,129.38259086072227,0.18803998486411186,0.08501517002370103,0.09765629851998492,5,C0001748_SEG_UNCOMP,0.74971,0.83582,1.41447
0.3339,2.13,551.1084091017113,1076.1850898455818,2149.455038851734,281.23526730065595,541.7154773735514,356.5474881132394,0.20465456208358854,0.08257971567826826,0.12338122737733026,6,C0001748_SEG_UNCOMP,0.66827,0.90845,1.42328
