BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3
0.3344,1.592,735.8986719257888,1046.0494488016022,1641.4121651060523,345.44972426706977,494.7640828287196,344.20131815421905,0.21890522557707648,0.1038107329913504,0.1506873060500063,1,C0001433_SEG_UNCOMP,0.7738,0.99467,1.23154
0.3327,1.54,897.1863607980446,1273.8764173185518,1698.5997783160608,402.9215632511548,445.3664313127426,381.53474787539926,0.20709796101959005,0.1094482192416956,0.13504497328111187,2,C0001433_SEG_UNCOMP,0.81996,0.91731,1.26273
0.318,1.467,816.968921816568,1086.0058468790696,1662.7728973952555,359.1812305519676,397.3963346829019,336.9523858508127,0.22533911248806984,0.10164824833856845,0.124596433195813,3,C0001433_SEG_UNCOMP,0.84395,0.91804,1.23801
0.2596,1.941,382.94156834635766,523.5947223527305,1485.1958473803784,199.55956526600988,323.21295077750614,250.13142508981502,0.30003236159135904,0.06979734019082394,0.09544642809560956,4,C0001433_SEG_UNCOMP,0.72992,0.8534,1.41668
0.2667,1.965,370.12620729198045,594.7548658229665,1618.486143435596,160.29104044513625,327.44858473904213,275.7556673780968,0.21583124302246792,0.08920202786506591,0.09377822912315799,5,C0001433_SEG_UNCOMP,0.73276,0.82769,1.43955
0.3512,1.937,689.9469396815516,1022.9695078953227,2245.3461722310685,339.9363673460848,589.366688462607,457.50235807615775,0.2536689371047327,0.09261030278358276,0.12525570584580706,6,C0001433_SEG_UNCOMP,0.7262,0.86722,1.40658
