$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
1;C0001406_SEG_UNCOMP;353;87;323;87;371;87;
2;C0001406_SEG_UNCOMP;346;87;341;87;347;87;
3;C0001406_SEG_UNCOMP;201;87;196;87;358;87;
4;C0001406_SEG_UNCOMP;399;87;218;87;408;87;
5;C0001406_SEG_UNCOMP;310;87;340;87;407;87;
6;C0001406_SEG_UNCOMP;262;87;80;87;408;87;
